Last,First
Aaron,Paul
Abel,Jeanne
Abbott,George
Abrahams,Jim
Abrams,Jeffrey
Abramson,Neil
Abduladze,Tengiz
Abramson,Nel
Ackerman,Robert Allan
Adam,Ken
Adamson,Al
Addis,Justus
Adler,Gilber
Adler,Carine
Adlon,Percy
Adolfi,John G.
Adomenaite,Niyole
Afredson,Daniel
Aguirre,Monte
Ahern,Fred
Akerman,Chantal
Akkad,Mustapha
Allardice,James
Alda,Alan
Aldrich,Robert
Alea,Tomas Gutierrez
Alessandrini,Goffredo
Alexander,Jourdon
Alexandrov,Grigori
Algar,James
Aliwalas,Francisco
Algrant,Dan
Allen,Corey
Allen,Fred
Allan,Irwin
Allan,Lewis
Allan,Ted
Konigsberg,Allen Stewart
Allers,Roger
Almendros,Nestor
Almond,Paul
Altman,Robert
Amadio,Silvio
Amaral,Suzana
Amelio,Gianni
Amurri,Franco
Amiel,Jon
Anders,Allison
Andersen,Thom
Anderson,Brad
Anderson,Kurt
Anderson,Laurie
Anderson,Lindsay
Anderson,Michael
Anderson,Paul Thomas
Anderson,Steve
Anderson,Wes
de b,Joaquim Pedro
Angel,Mikel
Angelidi,Antoinetta
Angelo,Yves
Angelopoulos,Theo
Angelou,Maya
Annakin,Ken
Annaud,Jean-Jaques
Anouilh,Jean
Antel,gn
Deuster,Joseph
Antonijevic,Peter
Antonio,Lou
Antonioni,Michelangelo
Apostoloff,Stephen C.
Apted,Michael
Aragon,Manuel Guiterrez
Araki,Gregg
Aranda,Vincente
Arau,Alfonso
Arcand,Denys
Archainbaud,George
Ardolino,Emile
Argento,Dario
Argyle,John
Aristarain,Adolfo
Aristov,Voktor
Arkush,Allan
Arkoff,Samuel Z.
Arlen,Michael
Arliss,Leslie
Armitage,George
Armstrong,Gillian
Arnold,Jack
Aronofsky,Darren
Arslan,Yilmar
Arthur,Karen
Arthur,Robert T.
Arzner,Dorothy
Ascot,Anthony
Ashby,Hal
Asher,Robert
Asher,William
Ashton,Sir Frederick
Assayas,Oliver
Atkins,Thomas
Attenborough,Sir Richard
Attias,Daniel
Audrey,Jaqueline
Auer,John H.
Auger,Kenneth
August,Bille
Aurel,Jean
Auster,Paul
Austin,Ray
Autant-Lara,Claude
Auzins,Igor
Avati,Pupi
Avedis,Howard
Averback,Hy
Avildson,John G.
Avildson,Tom
Avnet,Jon
Axelrod,George
Axelrod,Gxx
Babenco,Hector
Bacon,Lloyd
Bachmann,Gideon
Badger,Clarence
Badham,John
Baer,Liza
Bahr,Fax
Baier,Jo
Bail,Chuck
Bailey,John
Baird,Stuart
Baker,Graham
Baker,Robert S.
Baker,Roy Ward
Bakshi,Ralph
Baxley,Craig R.
Bauer,Hubert
Balsmeyer,Jeff
Balaban,Barney
Balabanov,Alexei
name1,Matthew
Bartabas,gn
Balaban,Bob
Balaban,Burt
Balcon,Sir Michael
Baldwin,Ruth Ann
Ballard,Carroll
Ballard,John
Ballard,Lucien
Ballhaus,Michael
Band,Afredo (Albert)
Bianchi,Mario (Monty)
Banno,Yoshimitsu
Bano,Albert
Barker,Nicholas
Barker,Reginald
Barnes,George
Barnett,Ivan
Barret,Bruno
Barreto,Bruno
Barreto,Lima
Barreto,Luis Carlos
Barrett,Shirley
Barron,Steve
Blythe,Lionel
Bartel,Paul
Bartlett,Hall
Basaran,Tunc
Barton,Charles T.
Bass,Saul
Bava,Mario
Bay,Michael
Bean,Robert B.
Beatty,Warren
Beaudine,William
Beaumont,Charles
Beaumont,Harry
Becker,Harold
Becker,Jacques
Bedford,Terry
Beebe,Ford
Beineix,Jean-Jacques
Bilikov,Mikhael
Bekolo,Jean-Pierre
Bell,Monta
Bell,Martin
Bellamy,Earl
Bellocchio,Marco
Belson,Jerry
Belvaux,Remy
Benacerraf,Margot
Benchley,Peter
Benedek,Laszlo
Benegal,Shyam
Benigni,Roberto
Benjamin,Richard
Benner,Richard
Bennett,Spencer Gordon
Bennett,Alan
Compton-Bennett,Robert
Bennett,Harve
Bennett,Spencer Gordon
Benoit,Jaques W.
Bentley,Thomas
Benton,Robert
Beresford,Bruce
Berg,Peter
Berger,Ludwig
Bergman,Andrew
Bergman,Daniel
Bergman,Ingmar
Bergstein,Eleanor
Berke,William
Berliner,Alain
Berlanga,Luis Garcia
Berman,Pandro S.
Bernasconi,Stephane
Bernds,Edward
Bernhardt,Curtis (Kurt)
Bernstein,Lord Sidney
Berovici,Luca
Bernstein,Walter
Berri,Claude
Berry,John
Bertolucci,Bernardo
Besson,Luc
Beyer,Frank
Beyer,Tony
Bianchi9,Edward
Biberman,Abner
Biberman,Herbert J.
Bierman,Robert
Bigat,Tony
Bigelow,Kathryn
Bigood,Jim
Bijl,Jacob
Bill,Tony
Billington,Kevin
Billon,Pierre
Bilson,Bruce
Binder,Mike
Birch,Patricia
Bird,Antonia
Birdwell,Russell
Birkin,Andrew
Bischoff,Samuel
Bitzer,G.W.
Black,Edward
Black,Noel
Blackburn,Richard
Blackton,J.Stuart
Blackwood,Christan
Blair,Les
Blake,Ben K.
Blanc,Michel
Blanche,Herbert
Blanke,Henry
Blanks,Jamie
Blatt,Edward A.
Bleckner,Jeff
Blier,Bernard
Blier,Bertrand
Bliss,Barry
Bloch,Robert
Blom,August
Bloom,Jeffrey
Bloomfield,George
Bluth,Don
Blystone,John G.
Bochner,Hart
Bodrov,Sergeitd>
Bogart,Humphrey DeForest
Bogart,Paul
Bogayevicz,Yurek
Bogdanovich,Peter
Benedict,Bogeaus
Bogner,Willy
Boivin,Jerome
Srzednick,Ryszart Boleslaw
Bolognini,Mauro
Bolvary,Geza
Bolotin,Craig
Bondartchuk,Sergei
Bonnard,Mario
Boorman,John
Borman,Arthur
Booth,G.R.
Borowczyck,Walerian
Borsos,Phillip
Borzage,Frank
Boulting,John
Boulting,Roy
Bouzagio,Haim
Bourgignon,Serge
Bowen,Jerry
Bowers,George
Box,Betty E.
Box,Muriel
Box,Sidney
Boyd,Don
Boyd,Daniel
Boyle,Danny
Boyd,Julianne
Bozetto,Brono
Brabin,Charles
Brackett,Charles
Brackett,Leigh
Bradbury,Ray
Bradley,David
Brady,William A.
Bragaglia,Anton Giulio
Bragaglia,Carlo Ludovico
Brahm,Hans (John)
Brambilla,Marco
Branagh,Kenneth
Brandauer,Karin
Brando,Marlon
Brannon,Fred
Brault,Michel
Brass,Tinto
Brecht,Bertolt
Breer,Emily
Bergman,Martin
Bregman,Michael B.
Breillat,Catherine
Brelis,Tia
Brenon,Herbert
Bresson,Robert
Brest,Martin
Bretherton,Howard
Breuer,Lee
Bricken,Jules
Broccoli,Albert R.
Brickman,Marshall
Brickman,Paul
Bridges,James
Brignone,Guido
Brill,Steven
Brisseau,Jean-Claude
Brode,Henrijk M.
Brook,Sir Peter
Brooks,Albert
Brooks,Bob
Brooks,Joseph
Brooks,James L. (Jim)
Kaminsky,Melvin
Brooks,Richard
Broomfield,Nick
Bross,Eric
Brown,Barry
Brown,Bruce
Brown,Clarence
Brown,David
Brown,James
Browning,Kirk
Browning,Tod
Bruckman,Clyde
Bruckheimer,Jerry
Brunel,Adrian
Bryant,Bruce
Bryant,Charles
Buchan,John
Buchanan,Larry
Buchowetzski,Dimitri
Buck,Frank
Buckhantz,Alan
Bucksey,Colin
Buckner,Noel
Bucquet,Harold S.
Bugajski,Ryszard
Bunin,Louis
Buntzman,Mark
Burge,Stuart
Burke,Martyn
Burks,Robert
Burnett,Charles
Burns,Allan
Burns,Ed
Burns,Ken
Burstall,Tim
Burton,David
Burton,Tim
Busch,Niven
Buscemi,Steve
Busnell,William H.
Butler,David
Butler,George
Butler,Robert
Buzzell,Edward
Byrum,John
Caan,James
Cabanne,Christy
Cacoyannis,Michael
Cadiff,Andy
Cahn,Edward L.
Cahn,Sammy
Cain,James M.
Caiozzi,Silvio
Callow,Simon
Camerini,Mario
Cameron,James
Cameron,Ken
Cammell,Donald
Camp,Joe
Campanella,Juan J.
Campanile,Pasquale Festa
Campbell,Colin
Campbell,Martin
Campion,Jane
Camus,Marcel
Cannon,Danny
Capra,Frank Chico
Capuano,Antonio
Cardiff,Jack
Cardos,John
Cardoza,Anthony
Carlsen,Henning
Carlei,Carlo
Carlino,Lewis John
Caron,Glenn Gordon
Carow,Heiner
Carpenter,John
Carr,Howard
Carra,Lucille
Carreras,Michael
Carriere,Jean-Claude
Keys,John Paddy
Carter,Chris
Carter,Peter
Carter,Thomas
Carver,H.P.
Carver,Steve
Cassavetes,John
Cassavetes,Nick
Castellani,Enzo Girolami
Caserini,Mario
Cass,Henry
Cassini,Alexander
Castellani,Renato
Castellvi,gn
Castle,Nick
Castle,William
Cates,Gilbert
Caton-Jones,Michael
Cattaneo,Peter
Caulfield,Michael
Cavalcanti,Alberto
Cavalier,Alain
Cayatte,Andre
Cerf,Norman A.
Chabrol,Claude
Chadha,Gurinder
Chaffey,Don
Chahine,Youssef
Champion,Gregg
Chan,Jackie
Chan,Peter Ho-Sun
Chan,Tony
Chaplin,Sir Charles
Chapman,Michael
Chapman,Michael
Chappelle,Joe
Chartoff,Robert
Chase,Richard
Chasnoff,Debra
Chatiliez,Etienne
Chautard,Emile
Chechik,Jeremiah
Chelsom,Peter
Chen,Andrew
Chen,Joan
Chen,KaiGe
Chen,xgn
Chereau,Patrice
Chesterton,G.K.
Ching,SuiTung
Cholodenko,Lisa
Chomsky,Marvin
Christian,Roger
Chong,Thomas
Maudet,Christian
Chytilova,Vera
Cimber,Matt
Cimino,Michael
Cisse,Souleymane
Clark,Alan
Clark,Bob
Clark,B.D.
Clark,Greydon
Clark,Jim
Clark,James B.
Clarke,Shirley
Clavel,Robert
Clavell,James
Clayton,Jack
Clegg,Tom
Clemens,William
Clifford,Graeme
Clifton,Elmer
Cline,Edward
Clouse,Robert
Clouzot,Henri-Georges
Clowes,St.John L.
Clurman,Harold
Cozzi,Luigi (Lewis)
Cochran,Stacy
Cockrell,Francis
Cockrell,Marian
Cocteau,Jean
Coe,Fred
Coe,Wayne
Coen,Ethan
Coen,Joel
Cohen,Eli
Cohen,Larry
Cohen,Norman
Cohen,Rob
Cohl,Emilre
Cohn,Harry
Coleman,Herbert
Collard,Cyril
Coletti,Dulio
Collier,David
Collier,James F.
Collins,Lewis D.
Collins,Philip
Collins,Roger
Collinson,Peter
Colpi,Henri
Columbus,Chris
Comfort,Lance
Comencini,Luigi
Compton,Richard
Condon,Bill
Conn,Nicole
Connor,Kevin
Conrad,William
Conti,Bill
Conway,Jack
Cook,Fielder
Cook,Robin
Cookson,Tony
Coolidge,Martha
Cooper,Merian C.
Cooper,Stuart
Chopra,Joyce
Coraci,Frank
Coppola,Carmine
Coppola,Francis Ford
Cobiau,Gerard
Corbucci,Sergio
Corman,Roger
Corneau,Alain
Cornelius,Henry
Cornell,John
Cornfield,Hubert
Cortes,Fernando
Corti,Azel
Coscarelli,Don
Cosmatos,George Pan
da Costa,Morton
Costa-Gavras,Constantin
Costner,Kevin
Cotter,John
Coutinho,Eduardo
Coward,Sir Noel
Cox,Alex
Cox,Jack
Cox,Paul
Crabtree,Arthur
Crain,William
Crane,Peter
Craven,Jay
Craven,Wes
Crichton,Charles
Crichton,Michael
Crombie,Donald
Cromwell,John
Cronenberg,David
Crosby,Floyd
Crosland,Alan
Crowe,Cameron
Crowe,Christopher
Cruise,Tom
Bosen,Jens Cruz (James)
Crystal,Billy
Cuaron,Alfonso
Cukor,George
Cummings,Irving
Cummins,Jack
Cundieff,Rusty
Cunha,Richard (Dick)
Cunningham,Sean S.
Curtis,Dan
Curtis,Edward S.
Curtis,Richar
Kertesz,Mihaly (Michael)
Cutts,Graham
Czinner,Paul
Dabadie,Jean Loup
daFontoura,Antonio Carlos
Dahl,John
Daley,Sandy
Daley,Robert
Dalva,Robert
Damiani,Damiono
Damiano,Gerard
Damianos,Alexis
Damski,Mel
Daneliuc,Mircea
Daniel,Rod
Daniels,William
Danielson,Tage
Danquart,Pepe
Danska,Herbert
Dante,Joe
Darabont,Frank
