"Category","Number of adults at start","Number of adults at annual assessment (stayers)","Number of adults at exit (leavers)"
"a. Adults with only earned income (i.e., employment income)",0,0,0
"b. Adults with only other income",19,16,2
"c. Adults with both earned and other income",1,1,0
"d. Adults with no income",10,5,1
"e. Adults with Client Doesn't Know/Client Refused income information",0,0,0
"f. Adults with missing income information",0,0,0
"g. Number of adult stayers not yet required to have an annual assessment",,5,
"h. Number of adult stayers without required annual assessment",,0,
"i. Total adults",30,27,3
"j. 1 or more source of income",20,17,2
"k. Adults with income information at start AND follow-up/exit",,22,3
