" ","AO:Adult with Disabling Condition","AO:Adult without Disabling Condition","AO:Total Adults","AO:% with Disabling Condition by Source","AC:Adult with Disabling Condition","AC:Adult without Disabling Condition","AC:Total Adults","AC:% with Disabling Condition by Source","UK:Adult with Disabling Condition","UK:Adult without Disabling Condition","UK:Total Adults","UK:% with Disabling Condition by Source"
"a. Earned Income","","","","","","","","","","","",""
"b. Supplemental Security Income (SSI)","2","","2","1.0000","","","","","","","",""
"c. Social Security Disability Insurance (SSDI)","","","","","","","","","","","",""
"d. VA Service-Connected Disability Compensation","1","","1","1.0000","","","","","","","",""
"e. Private Disability Insurance","","","","","","","","","","","",""
"f. Worker's Compensation","","","","","","","","","","","",""
"g. Temporary Assistance for Needy Families (TANF)","","","","","","","","","","","",""
"h. Retirement Income from Social Security","","","","","","","","","","","",""
"i. Pension or retirement income from a former job","","","","","","","","","","","",""
"j. Child Support","","","","","","","","","","","",""
"k. Other source","","","","","","","","","","","",""
"l. No Sources","1","","1","1.0000","","","","","","","",""
"m. Unduplicated Total Adults","3","","3","","","","","","","","",""
