"",At Start,At Annual Assessment for Stayers,At Exit for Leavers
MEDICAID,22,17,2
MEDICARE,3,2,1
State Children’s Health Insurance Program,0,0,0
Veteran’s Administration (VA) Medical Services,1,1,0
Employer – Provided Health Insurance,0,0,1
Health Insurance obtained through COBRA,0,0,0
Private Pay Health Insurance,0,0,0
State Health Insurance for Adults,2,1,0
Indian Health Services Program,0,0,0
Other,0,0,0
No health insurance,6,0,2
Client Doesn't Know/Refused,0,0,0
Data Not Collected,0,0,0
Annual assessment not required,0,6,0
One source of insurance,17,14,2
More than one source of insurance,5,3,1
