"",Count of Clients for DQ,Count of Clients
Total number of persons served,28,28
Number of adults age 18 or over,28,28
Number of children under age 18,0,0
Number of persons with unknown age,0,0
Number of leavers,5,5
Number of adult leavers,5,5
Number of adult and head of household leavers,5,5
Number of stayers,23,23
Number of adult stayers,23,23
Number of veterans,3,3
Number of chronically homeless persons,27,27
Number of youth under age 25,1,1
Number of parenting youth under age 25 with children,0,0
Number of adult heads of household,28,28
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,17,17
