"",Count of Clients for DQ,Count of Clients
Total number of persons served,14,14
Number of adults age 18 or over,12,12
Number of children under age 18,2,2
Number of persons with unknown age,0,0
Number of leavers,7,7
Number of adult leavers,6,6
Number of adult and head of household leavers,6,6
Number of stayers,7,7
Number of adult stayers,6,6
Number of veterans,2,2
Number of chronically homeless persons,7,7
Number of youth under age 25,2,2
Number of parenting youth under age 25 with children,2,2
Number of adult heads of household,11,11
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,0,0
