"Source","Income at start","Income at latest annual assessment for stayers","Income at exit for leavers"
"a. Earned Income",27,6,8
"b. Unemployment Insurance",2,0,2
"c. Supplemental Security Income (SSI)",6,0,3
"d. Social Security Disability Insurance (SSDI)",4,0,2
"e. VA Service-Connected Disability Compensation",0,0,0
"f. VA Non-Service Connected Disability Pension",0,0,0
"g. Private Disability Insurance",0,0,0
"h. Worker's Compensation",0,0,0
"i. Temporary Assistance for Needy Families (TANF)",1,0,1
"j. General Assistance (GA)",0,0,0
"k. Retirement Income from Social Security",0,0,0
"l. Pension or retirement income from a former job",0,0,0
"m. Child Support",0,1,0
"n. Alimony and other spousal support",0,0,0
"o. Other source",2,0,0
"p. Adults with Income Information at Start and Annual Assessment/Exit",,6,17
