"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
Permanent Destinations,0,0,0,0,0
Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"Owned by client, no ongoing housing subsidy",0,0,0,0,0
"Owned by client, with ongoing housing subsidy",0,0,0,0,0
"Rental by client, no ongoing housing subsidy",13,9,2,2,0
"Rental by client, with VASH housing subsidy",0,0,0,0,0
"Rental by client, with GPD TIP housing subsidy",0,0,0,0,0
"Rental by client, with other ongoing housing subsidy",8,8,0,0,0
Permanent housing for formerly homeless persons,1,1,0,0,0
"Staying or living with family, permanent tenure",1,1,0,0,0
"Staying or living with friends, permanent tenure",1,1,0,0,0
"Rental by client, with RRH or equivalent subsidy",0,0,0,0,0
"Rental by client, with HCV voucher",0,0,0,0,0
Rental by client in a public housing unit,0,0,0,0,0
Permanent Subtotal,24,20,2,2,0
Temporary Destinations,0,0,0,0,0
Emergency shelter,0,0,0,0,0
Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
Transitional housing for homeless persons,0,0,0,0,0
"Staying or living with family, temporary tenure",0,0,0,0,0
"Staying or living with friends, temporary tenure",1,1,0,0,0
Place not meant for habitation,0,0,0,0,0
Safe Haven,0,0,0,0,0
Hotel or motel paid for without emergency shelter voucher,0,0,0,0,0
Host Home,0,0,0,0,0
Temporary Subtotal,1,1,0,0,0
Institutional Settings,0,0,0,0,0
Foster care home or foster care group home,0,0,0,0,0
Psychiatric hospital or other psychiatric facility,0,0,0,0,0
Substance abuse treatment facility or detox center,0,0,0,0,0
Hospital or other residential non-psychiatric medical facility,0,0,0,0,0
"Jail, prison or juvenile detention facility",1,1,0,0,0
Long-term care facility or nursing home,0,0,0,0,0
Institution Subtotal,1,1,0,0,0
Other Destinations,0,0,0,0,0
Residential project or halfway house with no homeless criteria,0,0,0,0,0
Deceased,0,0,0,0,0
Other,2,2,0,0,0
Client Doesn't Know/Refused,0,0,0,0,0
Data Not Collected,0,0,0,0,0
Other Subtotal,2,2,0,0,0
Total,28,24,2,2,0
Total persons exiting to positive housing destinations,24,20,2,2,0
Total persons whose destinations excluded them from the calculation,0,0,0,0,0
Percentage,0.8571428571428571,0.8333333333333334,1,1,0
