"",Count of Clients for DQ,Count of Clients
Total number of persons served,40,40
Number of adults age 18 or over,22,22
Number of children under age 18,18,18
Number of persons with unknown age,0,0
Number of leavers,31,31
Number of adult leavers,15,15
Number of adult and head of household leavers,28,28
Number of stayers,9,9
Number of adult stayers,7,7
Number of veterans,0,0
Number of chronically homeless persons,1,1
Number of youth under age 25,37,37
Number of parenting youth under age 25 with children,2,2
Number of adult heads of household,22,22
Number of child and unknown age heads of household,15,15
Heads of households and adult stayers in the project 365 days or more,1,1
