"Category","Number of adults at start","Number of adults at annual assessment (stayers)","Number of adults at exit (leavers)"
"a. Adults with only earned income (i.e., employment income)",10,5,3
"b. Adults with only other income",0,0,0
"c. Adults with both earned and other income",1,1,1
"d. Adults with no income",1,0,0
"e. Adults with Client Doesn't Know/Client Refused income information",0,0,0
"f. Adults with missing income information",1,0,0
"g. Number of adult stayers not yet required to have an annual assessment",,2,
"h. Number of adult stayers without required annual assessment",,1,
"i. Total adults",13,9,4
"j. 1 or more source of income",11,6,4
"k. Adults with income information at start AND follow-up/exit",,5,4
