"",disabling_condition_Without Children,no_disabling_condition_Without Children,all_Without Children,Without Children_percent,disabling_condition_With Children And Adults,no_disabling_condition_With Children And Adults,all_With Children And Adults,With Children And Adults_percent,disabling_condition_Unknown Household Type,no_disabling_condition_Unknown Household Type,all_Unknown Household Type,Unknown Household Type_percent
Earned,6,0,6,1,4,0,4,1,0,0,0,0
SSI,2,0,2,1,0,0,0,0,0,0,0,0
SSDI,0,0,0,0,0,0,0,0,0,0,0,0
VADisabilityService,0,0,0,0,0,0,0,0,0,0,0,0
PrivateDisability,0,0,0,0,0,0,0,0,0,0,0,0
WorkersComp,0,0,0,0,0,0,0,0,0,0,0,0
TANF,0,0,0,0,2,0,2,1,0,0,0,0
SocSecRetirement,1,0,1,1,0,0,0,0,0,0,0,0
Pension,0,0,0,0,0,0,0,0,0,0,0,0
ChildSupport,1,0,1,1,1,0,1,1,0,0,0,0
Other Source,0,0,0,0,0,0,0,0,0,0,0,0
No Sources,16,0,16,1,4,0,4,1,0,0,0,0
Unduplicated Total Adults,24,0,24,0,9,0,9,0,0,0,0,0
