"",At Start,At Annual Assessment for Stayers,At Exit for Leavers
MEDICAID,69,0,46
MEDICARE,2,0,2
State Children’s Health Insurance Program,2,0,0
Veteran’s Administration (VA) Medical Services,0,0,0
Employer – Provided Health Insurance,1,0,0
Health Insurance obtained through COBRA,0,0,0
Private Pay Health Insurance,0,0,0
State Health Insurance for Adults,4,0,2
Indian Health Services Program,0,0,0
Other,0,0,0
No health insurance,0,0,0
Client Doesn't Know/Refused,0,0,0
Data Not Collected,0,0,0
Annual assessment not required,0,27,0
One source of insurance,72,0,46
More than one source of insurance,3,0,2
