"",Count of Clients for DQ,Count of Clients
Total number of persons served,75,75
Number of adults age 18 or over,49,49
Number of children under age 18,26,26
Number of persons with unknown age,0,0
Number of leavers,48,48
Number of adult leavers,33,33
Number of adult and head of household leavers,33,33
Number of stayers,27,27
Number of adult stayers,16,16
Number of veterans,1,1
Number of chronically homeless persons,5,5
Number of youth under age 25,5,5
Number of parenting youth under age 25 with children,1,1
Number of adult heads of household,49,49
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,0,0
