"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Under 5","0","0","0","0","0"
"b. 5 - 12","0","0","0","0","0"
"c. 13 - 17","0","0","0","0","0"
"d. 18 - 24","0","0","0","0","0"
"e. 25 - 34","3","3","0","0","0"
"f. 35 - 44","3","3","0","0","0"
"g. 45 - 54","8","8","0","0","0"
"h. 55 - 61","7","7","0","0","0"
"i. 62+","5","5","0","0","0"
"j. Client Doesn't Know/Client Refused","1","0","0","0","1"
"k. Data Not Collected","0","0","0","0","0"
"l. Total","27","26","0","0","1"
