"",disabling_condition_Without Children,no_disabling_condition_Without Children,all_Without Children,Without Children_percent,disabling_condition_With Children And Adults,no_disabling_condition_With Children And Adults,all_With Children And Adults,With Children And Adults_percent,disabling_condition_Unknown Household Type,no_disabling_condition_Unknown Household Type,all_Unknown Household Type,Unknown Household Type_percent
Earned,4,15,19,0.21052631578947367,1,0,1,1,0,0,0,0
SSI,19,0,19,1,1,0,1,1,0,0,0,0
SSDI,7,0,7,1,0,0,0,0,0,0,0,0
VADisabilityService,0,0,0,0,0,0,0,0,0,0,0,0
PrivateDisability,0,0,0,0,0,0,0,0,0,0,0,0
WorkersComp,0,0,0,0,0,0,0,0,0,0,0,0
TANF,0,0,0,0,0,1,1,0,0,0,0,0
SocSecRetirement,1,0,1,1,0,0,0,0,0,0,0,0
Pension,0,0,0,0,0,0,0,0,0,0,0,0
ChildSupport,0,0,0,0,0,0,0,0,0,0,0,0
Other Source,1,2,3,0.3333333333333333,0,0,0,0,0,0,0,0
No Sources,14,40,54,0.25925925925925924,0,0,0,0,0,0,0,0
Unduplicated Total Adults,43,57,100,0,1,1,2,0,0,0,0,0
