"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
0 to 7 days,60,51,6,3,0
8 to 14 days,13,12,0,1,0
15 to 21 days,7,7,0,0,0
22 to 30 days,8,8,0,0,0
31 to 60 days,25,23,2,0,0
61 to 90 days,6,6,0,0,0
91 to 180 days,1,1,0,0,0
181 to 365 days,2,2,0,0,0
366 to 730 days (1-2 Yrs),1,1,0,0,0
"731 to 1,095 days (2-3 Yrs)",0,0,0,0,0
"1,096 to 1,460 days (3-4 Yrs)",0,0,0,0,0
"1,461 to 1,825 days (4-5 Yrs)",0,0,0,0,0
"More than 1,825 days (>5 Yrs)",0,0,0,0,0
Data Not Collected,0,0,0,0,0
Total,123,111,8,4,0
