" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. 7 days or less","0","0","0","0","0"
"b. 8-14 days","0","0","0","0","0"
"c. 15-21 days","0","0","0","0","0"
"d. 22 to 30 days","1","1","0","0","0"
"e. 31 to 60 days","0","0","0","0","0"
"f. 61 to 180 days","1","1","0","0","0"
"g. 181 to 365 days","4","3","0","0","1"
"h. 366 to 730 days (1 – 2 yrs.)","3","3","0","0","0"
"i. 731 days or more","17","17","0","0","0"
"j. Total (persons moved into housing)","26","25","0","0","1"
"k. Not yet moved into housing","0","0","0","0","0"
"l. Data not collected","1","1","0","0","0"
"m. Total persons","27","26","0","0","1"
