"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
Permanent Destinations,0,0,0,0,0
Moved from one HOPWA funded project to HOPWA PH,0,0,0,0,0
"Owned by client, no ongoing housing subsidy",1,1,0,0,0
"Owned by client, with ongoing housing subsidy",0,0,0,0,0
"Rental by client, no ongoing housing subsidy",10,10,0,0,0
"Rental by client, with VASH housing subsidy",0,0,0,0,0
"Rental by client, with GPD TIP housing subsidy",0,0,0,0,0
"Rental by client, with other ongoing housing subsidy",0,0,0,0,0
Permanent housing for formerly homeless persons,1,1,0,0,0
"Staying or living with family, permanent tenure",3,2,0,1,0
"Staying or living with friends, permanent tenure",4,0,4,0,0
"Rental by client, with RRH or equivalent subsidy",2,2,0,0,0
"Rental by client, with HCV voucher",0,0,0,0,0
Rental by client in a public housing unit,4,2,2,0,0
Permanent Subtotal,25,18,6,1,0
Temporary Destinations,0,0,0,0,0
Emergency shelter,3,3,0,0,0
Moved from one HOPWA funded project to HOPWA TH,0,0,0,0,0
Transitional housing for homeless persons,0,0,0,0,0
"Staying or living with family, temporary tenure",6,6,0,0,0
"Staying or living with friends, temporary tenure",10,9,0,1,0
Place not meant for habitation,16,15,0,1,0
Safe Haven,0,0,0,0,0
Hotel or motel paid for without emergency shelter voucher,5,3,2,0,0
Host Home,0,0,0,0,0
Temporary Subtotal,40,36,2,2,0
Institutional Settings,0,0,0,0,0
Foster care home or foster care group home,0,0,0,0,0
Psychiatric hospital or other psychiatric facility,0,0,0,0,0
Substance abuse treatment facility or detox center,0,0,0,0,0
Hospital or other residential non-psychiatric medical facility,2,2,0,0,0
"Jail, prison or juvenile detention facility",10,10,0,0,0
Long-term care facility or nursing home,1,1,0,0,0
Institution Subtotal,13,13,0,0,0
Other Destinations,0,0,0,0,0
Residential project or halfway house with no homeless criteria,0,0,0,0,0
Deceased,0,0,0,0,0
Other,3,2,0,1,0
Client Doesn't Know/Refused,11,11,0,0,0
Data Not Collected,21,21,0,0,0
Other Subtotal,35,34,0,1,0
Total,113,101,8,4,0
Total persons exiting to positive housing destinations,25,18,6,1,0
Total persons whose destinations excluded them from the calculation,3,3,0,0,0
Percentage,0.22727272727272727,0.1836734693877551,0.75,0.25,0
