"",Income at Start,Income at Latest Annual Assessment for Stayers,Income at Exit for Leavers
Earned Income,24,0,36
Unemployment Insurance,0,0,0
Supplemental Security Income (SSI),19,0,16
Social Security Disability Insurance (SSDI),14,0,14
VA Service – Connected Disability Compensation,2,0,2
VA Non-Service Connected Disability Pension,0,0,0
Private Disability Insurance,0,0,0
Worker’s Compensation,1,0,0
Temporary Assistance for Needy Families (TANF),0,0,0
General Assistance (GA),1,0,1
Retirement Income from Social Security,0,0,0
Pension or retirement income from a former job,1,0,0
Child Support,3,0,2
Alimony and other spousal support,0,0,0
Other Source,2,0,2
Adults with Income Information at Start and Annual Assessment/Exit,,0,112
