"",disabling_condition_Without Children,no_disabling_condition_Without Children,all_Without Children,Without Children_percent,disabling_condition_With Children And Adults,no_disabling_condition_With Children And Adults,all_With Children And Adults,With Children And Adults_percent,disabling_condition_Unknown Household Type,no_disabling_condition_Unknown Household Type,all_Unknown Household Type,Unknown Household Type_percent
Earned,16,15,31,0.5161290322580645,0,5,5,0,0,0,0,0
SSI,10,4,14,0.7142857142857143,2,0,2,1,0,0,0,0
SSDI,9,3,12,0.75,1,1,2,0.5,0,0,0,0
VADisabilityService,2,0,2,1,0,0,0,0,0,0,0,0
PrivateDisability,0,0,0,0,0,0,0,0,0,0,0,0
WorkersComp,0,0,0,0,0,0,0,0,0,0,0,0
TANF,0,0,0,0,0,0,0,0,0,0,0,0
SocSecRetirement,0,0,0,0,0,0,0,0,0,0,0,0
Pension,0,0,0,0,0,0,0,0,0,0,0,0
ChildSupport,0,2,2,0,0,0,0,0,0,0,0,0
Other Source,2,0,2,1,1,0,1,1,0,0,0,0
No Sources,21,19,40,0.525,1,7,8,0.125,0,0,0,0
Unduplicated Total Adults,55,40,95,0,4,13,17,0,0,0,0,0
