"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
0 to 7 days,14,11,3,0,0
8 to 14 days,14,13,1,0,0
15 to 21 days,16,9,7,0,0
22 to 30 days,29,20,8,1,0
31 to 60 days,60,39,21,0,0
61 to 90 days,17,12,5,0,0
91 to 180 days,9,8,0,1,0
181 to 365 days,0,0,0,0,0
366 to 730 days (1-2 Yrs),0,0,0,0,0
"731 to 1,095 days (2-3 Yrs)",0,0,0,0,0
"1,096 to 1,460 days (3-4 Yrs)",0,0,0,0,0
"1,461 to 1,825 days (4-5 Yrs)",0,0,0,0,0
"More than 1,825 days (>5 Yrs)",0,0,0,0,0
Data Not Collected,0,0,0,0,0
Total,159,112,45,2,0
