"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Under 5","0","0","0","0","0"
"b. 5 - 12","2","0","2","0","0"
"c. 13 - 17","0","0","0","0","0"
"d. 18 - 24","0","0","0","0","0"
"e. 25 - 34","1","0","1","0","0"
"f. 35 - 44","2","2","0","0","0"
"g. 45 - 54","2","2","0","0","0"
"h. 55 - 61","4","4","0","0","0"
"i. 62+","3","3","0","0","0"
"j. Client Doesn't Know/Client Refused","4","0","0","0","4"
"k. Data Not Collected","6","0","0","0","6"
"l. Total","24","11","3","0","10"
