"Income bracket","Income at start","Income at latest annual assessment for stayers","Income at exit for leavers"
"a. no income",1,0,0
"b. $1 - $150",0,0,0
"c. $151 - $250",0,0,0
"d. $251 - $500",1,0,0
"e. $501 - $1000",3,0,0
"f. $1,001 - $1,500",1,0,0
"g. $1,501 - $2,000",2,0,0
"h. $2,001+",0,0,0
"i. Client Doesn't Know/Client Refused",0,0,0
"j. Data Not Collected",4,0,0
"k. Number of adult stayers not yet required to have an annual assessment",,0,
"l. Number of adult stayers without required annual assessment",,12,
"n. Total adults",12,12,0
