"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Under 5","2","0","2","0","0"
"b. 5 - 12","1","0","1","0","0"
"c. 13 - 17","2","0","2","0","0"
"d. 18 - 24","1","0","1","0","0"
"e. 25 - 34","1","1","0","0","0"
"f. 35 - 44","5","1","4","0","0"
"g. 45 - 54","3","3","0","0","0"
"h. 55 - 61","0","0","0","0","0"
"i. 62+","1","0","1","0","0"
"j. Client Doesn't Know/Client Refused","0","0","0","0","0"
"k. Data Not Collected","0","0","0","0","0"
"l. Total","16","5","11","0","0"
