"",At Start,At Annual Assessment for Stayers,At Exit for Leavers
MEDICAID,13,0,13
MEDICARE,0,0,0
State Children’s Health Insurance Program,5,0,5
Veteran’s Administration (VA) Medical Services,1,0,1
Employer – Provided Health Insurance,0,0,0
Health Insurance obtained through COBRA,0,0,0
Private Pay Health Insurance,0,0,0
State Health Insurance for Adults,2,0,2
Indian Health Services Program,0,0,0
Other,0,0,0
No health insurance,5,0,5
Client Doesn't Know/Refused,0,0,0
Data Not Collected,0,0,0
Annual assessment not required,0,0,0
One source of insurance,19,0,19
More than one source of insurance,1,0,1
