" ","Total","Leavers","Stayers"
"a. 0 to 7 days",8,7,1
"b. 8 to 14 days",8,4,4
"c. 15 to 21 days",1,1,0
"d. 22 to 30 days",1,0,1
"e. 31 to 60 days",5,2,3
"f. 61 to 90 days",9,8,1
"g. 91 to 180 days",13,7,6
"h. 181 to 365 days",10,5,5
"i. 366 to 730 days (1 – 2 yrs.)",13,12,1
"j. 731 to 1095 days (2 – 3 yrs.)",3,2,1
"k. 1096 to 1460 days (3 – 4 yrs.)",0,0,0
"l. 1461 to 1825 days (4 – 5 yrs.)",0,0,0
"m. More than 1825 days (>5 yrs.)",0,0,0
"n. Data Not Collected",0,0,0
"o. Total",71,48,23
