"",Total,Without Children,With Children And Adults,With Only Children,Unknown Household Type
Able to maintain the housing they had at project start--Without a subsidy,0,0,0,0,0
Able to maintain the housing they had at project start--With the subsidy they had at project start,0,0,0,0,0
Able to maintain the housing they had at project start--With an on-going subsidy acquired since project start,0,0,0,0,0
Able to maintain the housing they had at project start--Only with financial assistance other than a subsidy,0,0,0,0,0
Moved to new housing unit--With on-going subsidy,0,0,0,0,0
Moved to new housing unit--Without an on-going subsidy,0,0,0,0,0
Moved in with family/friends on a temporary basis,0,0,0,0,0
Moved in with family/friends on a permanent basis,0,0,0,0,0
Moved to a transitional or temporary housing facility or program,0,0,0,0,0
Client became homeless – moving to a shelter or other place unfit for human habitation,0,0,0,0,0
Client went to jail/prison,0,0,0,0,0
Client died,0,0,0,0,0
Client doesn’t know/Client refused,0,0,0,0,0
Data not collected (no exit interview completed),0,0,0,0,0
Total,0,0,0,0,0
