"Age ranges","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Under 5","6","0","6","0","0"
"b. 5 - 12","3","0","3","0","0"
"c. 13 - 17","0","0","0","0","0"
"d. 18 - 24","3","1","2","0","0"
"e. 25 - 34","4","0","4","0","0"
"f. 35 - 44","2","0","2","0","0"
"g. 45 - 54","0","0","0","0","0"
"h. 55 - 61","1","0","1","0","0"
"i. 62+","0","0","0","0","0"
"j. Client Doesn't Know/Client Refused","0","0","0","0","0"
"k. Data Not Collected","0","0","0","0","0"
"l. Total","19","1","18","0","0"
