"1. Total number of persons served",19
"2. Number of adults (age 18 or over)",10
"3. Number of children (under age 18)",9
"4. Number of persons with unknown age",0
"5. Number of leavers",13
"6. Number of adult leavers",7
"7. Number of adult and head of household leavers",7
"8. Number of stayers",6
"9. Number of adult stayers",3
"10. Number of veterans",1
"11. Number of chronically homeless persons",3
"12. Number of youth under age 25",2
"13. Number of parenting youth under age 25 with children",1
"14. Number of adult heads of household",8
"15. Number of child and unknown-age Heads of household",0
"16. Heads of households and adult stayers in the project 365 days or more",0
