"",Count of Clients for DQ,Count of Clients
Total number of persons served,8,15
Number of adults age 18 or over,8,10
Number of children under age 18,0,5
Number of persons with unknown age,0,0
Number of leavers,0,0
Number of adult leavers,0,0
Number of adult and head of household leavers,0,0
Number of stayers,0,0
Number of adult stayers,0,0
Number of veterans,0,0
Number of chronically homeless persons,0,0
Number of youth under age 25,2,2
Number of parenting youth under age 25 with children,0,0
Number of adult heads of household,7,8
Number of child and unknown age heads of household,0,0
Heads of households and adult stayers in the project 365 days or more,0,0
