"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3u9re_3u9rg","181385","76768",2020-02-28,99,99,0,,3,1,2020-02-28 00:00:00,2021-08-18 00:00:00,"3285",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3u9rv_3u9rx","181387","76770",2020-06-14,99,99,0,,2,1,2020-06-14 00:00:00,2021-08-18 00:00:00,"3381",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3u9sw_3u9sy","181388","76771",2021-05-11,99,99,0,,1,1,2021-05-12 00:00:00,2021-08-18 00:00:00,"845",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3u9w2_3u9w4","181384","76767",2021-04-21,99,99,0,,1,1,2021-04-21 00:00:00,2021-08-18 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3u9wg_3u9wi","181386","76769",2019-10-28,99,99,0,,1,1,2019-10-28 00:00:00,2021-08-18 00:00:00,"2403",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub01_3ub02","181658","76804",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub09_3ub00","181659","76805",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub0g_3ub0h","181660","76806",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub0o_3ub0p","181661","76807",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub0w_3ub0x","181662","76808",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub2u_3ub2v","181636","76773",2020-05-01,99,99,1,99,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub33_3ub34","181637","76774",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub37_3ub30","181637_26169","76775",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub3p_3ub3i","181638","76776",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub3q_3ub3r","181639","76777",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub40_3ub3y","181640","76778",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-24 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub42_3ub45","181640_26170","76780",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub46_3ub49","181640_26171","76790",2021-02-21,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub4q_3ub4r","181641","76779",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub5c_3ub54","181642_26172","76782",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub5d_3ub4y","181642","76781",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub5e_3ub5f","181643","76783",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub5k_3ub5n","181643_26174","76785",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub65_3ub5o","181643_26173","76784",2020-07-05,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub66_3ub67","181644","76786",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub6d_3ub6e","181645","76787",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub6l_3ub6m","181646","76788",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub6t_3ub6u","181647","76789",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub72_3ub73","181648","76791",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub76_3ub79","181648_26175","76792",2021-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub7h_3ub7i","181649","76793",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub7l_3ub7o","181649_26176","76794",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub7p_3ub7s","181649_26177","76796",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub89_3ub80","181650","76795",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub8g_3ub8h","181651","76797",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub8o_3ub8p","181652","76798",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"E79AAC483B90809B4FDFFB272AA252BD"
"_3ub8w_3ub8x","181653","76799",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"E79AAC483B90809B4FDFFB272AA252BD"
