"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x2a7_","193060","90624",2020-08-17,99,99,99,,,1,2020-08-20 00:00:00,2020-08-20 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2na_","192874","91034",2020-07-21,99,99,99,,,1,2020-07-24 00:00:00,2020-07-24 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2nq_","192868","91049",2020-07-24,99,99,99,,,1,2020-07-27 00:00:00,2020-07-27 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2ph_","190394","91108",2020-10-08,99,99,99,,,1,2020-10-20 00:00:00,2020-10-20 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2qv_","190130","91157",2020-09-21,99,99,99,,,1,2021-01-21 00:00:00,2021-01-21 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2ro_","190191","91182",2021-04-15,99,99,99,,,1,2021-10-22 00:00:00,2021-10-22 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2rs_","193123","91184",2020-07-30,99,99,99,,,1,2020-07-31 00:00:00,2020-07-31 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2ts_","190178","91247",2020-09-28,99,99,99,,,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2v4_","193114","91283",2021-09-07,99,99,99,,,1,2021-09-22 00:00:00,2021-09-22 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2xu_","190983","91351",2020-10-21,10,99,99,,,1,2020-10-23 00:00:00,2020-10-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x2zd_","193148","91392",2020-09-10,99,99,99,,,1,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x304_","191482","91676",2019-12-31,99,99,99,,,1,2022-02-03 00:00:00,2022-02-03 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x32p_","190266","91465",2020-12-21,99,99,99,,,1,2020-12-23 00:00:00,2020-12-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x32v_","189445","91470",2021-01-28,99,99,99,,,1,2021-04-30 00:00:00,2021-04-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x335_","190396","91478",2020-11-09,99,99,99,,,1,2020-11-10 00:00:00,2020-11-10 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x3kl_","191728","91986",2020-03-03,99,99,99,,,1,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x3nk_","190174","92081",2021-05-11,99,99,99,,,1,2022-01-19 00:00:00,2022-01-19 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x3px_","192965","92153",2021-07-19,99,99,99,,,1,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x3wt_","190106","92351",2021-06-23,99,99,99,,,1,2021-09-30 00:00:00,2021-09-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x48f_","190296","92682",2021-07-06,99,99,99,,,1,2021-07-12 00:00:00,2021-07-12 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x494_","192763","92703",2019-12-11,99,99,99,,,1,2019-12-12 00:00:00,2019-12-12 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x4ll_","190190","93144",2021-07-01,99,99,99,,,1,2021-07-02 00:00:00,2021-07-02 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x4uw_","192283","93410",2021-07-21,99,99,99,,,1,2021-07-28 00:00:00,2021-07-28 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"_3x5ca_","190020","93991",2020-11-05,99,99,99,,,1,2020-11-24 00:00:00,2020-11-24 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905493__","192874","91034",2020-10-31,99,99,99,,,3,2020-12-29 00:00:00,2020-12-29 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905507__","192868","91049",2020-10-17,99,99,99,,,3,2020-10-27 00:00:00,2020-10-27 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905557__","190394","91108",2021-06-18,99,99,99,,,3,2021-11-05 00:00:00,2021-11-05 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905602__","190130","91157",2021-07-14,99,99,99,,,3,2021-09-29 00:00:00,2021-09-29 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905630__","190191","91182",2021-06-27,99,99,99,,,3,2021-11-23 00:00:00,2021-11-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905834__","190983","91351",2020-11-03,99,99,99,,,3,2021-09-29 00:00:00,2021-09-29 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905970__","189445","91470",2021-04-05,99,99,99,,,3,2021-04-30 00:00:00,2021-04-30 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4905977__","190396","91478",2021-01-15,99,99,99,,,3,2021-03-12 00:00:00,2021-03-12 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4906212__","191482","91676",2021-05-10,99,99,99,,,3,2021-06-02 00:00:00,2021-06-02 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4906708__","190174","92081",2021-08-29,99,99,99,,,3,2021-11-05 00:00:00,2021-11-05 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4906980__","190106","92351",2021-06-26,99,99,99,,,3,2021-08-05 00:00:00,2021-08-05 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4907360__","190296","92682",2021-07-16,99,99,99,,,3,2021-11-23 00:00:00,2021-11-23 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4907383__","192763","92703",2020-12-20,99,99,99,,,3,2020-03-26 00:00:00,2020-03-26 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
"4908683__","190020","93991",2020-12-11,99,99,99,,,3,2021-03-12 00:00:00,2021-03-12 00:00:00,"0",,"B7579AB30B8A4DB64B1B1DEFD8771931"
