OrganizationID,OrganizationName,VictimServiceProvider,OrganizationCommonName,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1361,The Humanitarian Place,0,Humanitarian,2017-03-22 10:57:27,2022-08-15 12:16:04,27,,MERGED-ID
75,The Humanitarian Planet,0,Humanitarian,2019-07-01 10:38:34,2019-08-22 14:49:53,23,,MERGED-ID
450,The People Planet,0,People,2003-08-03 10:05:29,2019-01-09 12:31:49,18,,MERGED-ID
1060,The Future Place,0,Future,2013-02-08 09:57:21,2018-10-12 11:37:07,23,,MERGED-ID
773,The Care Services,0,Care,2016-09-29 08:44:43,2020-09-10 06:49:25,25,,MERGED-ID
6,The Care Foundation,0,Care,2018-02-13 11:14:00,2018-10-12 10:11:08,23,,MERGED-ID
119,The United Place,0,United,2022-08-16 13:41:15,2022-09-26 13:04:34,18,,MERGED-ID
106,The United Foundation,0,United,2002-05-02 15:24:10,2018-10-12 11:16:01,23,,MERGED-ID
1329,The Dream Place,0,Dream,2020-10-19 15:51:54,2020-10-21 11:22:07,23,,MERGED-ID
93,The Humanitarian Planet,0,Humanitarian,2016-12-29 10:20:16,2021-12-09 17:51:21,27,,MERGED-ID
