InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
3549,1362,XX-501,1,1,0,7,0,0,0,0,0,0,7,2,2021-01-27,,2021-05-18 08:53:12,2021-05-18 08:53:12,27,,MERGED-ID
3550,1362,XX-501,3,1,1,4,0,0,0,0,0,0,4,2,2021-01-27,,2021-05-18 08:53:30,2021-05-18 08:53:30,27,,MERGED-ID
4303,1362,XX-501,1,3,0,20,0,0,0,0,0,0,20,1,2021-01-27,,2022-01-24 17:07:55,2022-01-24 17:07:55,27,,MERGED-ID
2745,1362,XX-501,1,1,0,12,0,0,0,0,0,0,12,1,2020-01-28,2021-01-26,2020-06-30 16:08:59,2021-05-18 08:52:34,27,,MERGED-ID
2382,1362,XX-501,1,1,0,5,0,0,0,0,0,0,5,1,2019-02-06,2020-01-27,2019-04-26 09:40:44,2021-01-10 13:57:20,23,,MERGED-ID
4253,1495,XX-501,1,,0,13,0,0,0,0,0,0,13,,2020-10-01,2021-01-26,2021-11-17 01:04:35,2022-01-18 16:04:45,23,,MERGED-ID
4254,1495,XX-501,1,,0,13,0,0,0,0,0,0,13,,2020-01-29,2020-01-30,2021-11-17 01:05:10,2022-01-24 17:25:01,27,,MERGED-ID
4251,1495,XX-501,3,,0,0,0,0,0,0,0,0,0,,2020-10-01,2021-01-26,2021-11-17 01:03:23,2021-11-17 01:03:23,29,,MERGED-ID
4252,1495,XX-501,3,,0,0,0,0,0,0,0,0,0,,2021-01-29,,2021-11-17 01:03:59,2022-01-24 18:19:28,27,,MERGED-ID
4306,1495,XX-501,3,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2022-01-24 18:18:46,2022-01-24 18:18:46,27,,MERGED-ID
4307,1495,XX-501,1,,0,13,0,0,0,0,13,0,0,,2021-01-29,,2022-01-24 18:19:19,2022-01-24 18:19:39,27,,MERGED-ID
3681,1495,XX-501,1,,0,13,0,0,0,0,0,0,13,,2021-01-27,2021-01-28,2021-05-18 12:24:31,2021-05-18 12:24:31,27,,MERGED-ID
3254,1495,XX-501,1,,0,11,0,0,0,0,0,0,11,,2020-01-31,2020-09-30,2020-10-26 08:55:05,2020-10-26 08:55:05,27,,MERGED-ID
3253,1495,XX-501,1,,0,11,0,0,0,0,0,0,11,,2019-09-01,2020-01-28,2020-10-26 08:54:44,2020-11-30 12:49:33,27,,MERGED-ID
3233,1060,XX-501,3,,0,0,0,0,0,0,0,0,0,,2020-01-28,2020-01-30,2020-10-26 08:21:28,2021-01-10 13:59:27,23,,MERGED-ID
4218,1060,XX-501,1,,0,9,0,0,0,0,0,0,9,,2021-01-29,2021-09-30,2021-11-16 14:48:48,2022-01-26 13:47:27,27,,MERGED-ID
3231,1060,XX-501,1,,0,4,0,0,0,0,0,0,4,,2020-01-31,2020-09-30,2020-10-26 08:20:21,2020-12-29 14:12:34,27,,MERGED-ID
3232,1060,XX-501,3,,0,0,0,0,0,0,0,0,0,,2019-10-01,2020-01-27,2020-10-26 08:21:05,2021-01-10 13:58:58,23,,MERGED-ID
3234,1060,XX-501,3,,1,4,0,0,0,0,0,0,4,,2020-01-31,2020-09-30,2020-10-26 08:21:50,2020-12-29 14:15:20,27,,MERGED-ID
