YouthEducationStatusID,EnrollmentID,PersonalID,InformationDate,CurrentSchoolAttend,MostRecentEdStatus,CurrentEdStatus,DataCollectionStage,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
826158_1,826158,528656,2021-09-28,,,,1,2021-09-29 09:12:41,2021-10-01 09:13:44,28,,MERGED-ID
826158_3,826158,528656,2021-10-01,,,,3,2021-09-29 09:12:41,2021-10-01 09:13:44,28,,MERGED-ID
836116_1,836116,594380,2022-01-06,,,,1,2022-01-07 11:39:00,2022-02-09 14:12:19,27,,MERGED-ID
836116_3,836116,594380,2022-01-07,,,,3,2022-01-07 11:39:00,2022-02-09 14:12:19,27,,MERGED-ID
849668_1,849668,595460,2022-05-04,,,,1,2022-05-09 13:38:05,2022-05-09 13:42:46,27,,MERGED-ID
849668_3,849668,595460,2022-05-04,,,,3,2022-05-09 13:38:05,2022-05-09 13:42:46,27,,MERGED-ID
846777_1,846777,599921,2022-04-08,,,,1,2022-04-08 13:21:15,2022-06-24 11:40:21,30,,MERGED-ID
846777_3,846777,599921,2022-05-04,,,,3,2022-04-08 13:21:15,2022-06-24 11:40:21,30,,MERGED-ID
841402_3,841402,602304,2022-02-18,,,,3,2022-02-18 13:26:02,2022-07-11 08:50:35,30,,MERGED-ID
841402_1,841402,602304,2022-02-18,,,,1,2022-02-18 13:26:02,2022-07-11 08:50:35,30,,MERGED-ID
842575_1,842575,602304,2022-02-19,,,,1,2022-03-02 15:25:36,2022-07-11 08:50:13,30,,MERGED-ID
842575_3,842575,602304,2022-02-27,,,,3,2022-03-02 15:25:36,2022-07-11 08:50:13,30,,MERGED-ID
837182_1,837182,620743,2021-09-24,,,,1,2022-01-16 12:44:56,2022-02-09 14:23:35,27,,MERGED-ID
837182_3,837182,620743,2021-10-01,,,,3,2022-01-16 12:44:56,2022-02-09 14:23:35,27,,MERGED-ID
841663_1,841663,622187,2022-02-19,,,,1,2022-02-22 10:28:22,2022-03-10 10:58:37,27,,MERGED-ID
841663_3,841663,622187,2022-03-09,,,,3,2022-02-22 10:28:22,2022-03-10 10:58:37,27,,MERGED-ID
851059_1,851059,628244,2022-05-23,,,,1,2022-05-24 08:47:21,2022-06-16 07:30:59,30,,MERGED-ID
851059_3,851059,628244,2022-06-01,,,,3,2022-05-24 08:47:21,2022-06-16 07:30:59,30,,MERGED-ID
859168_1,859168,631690,2022-08-09,,,,1,2022-08-10 18:24:15,2022-08-10 18:24:15,27,,MERGED-ID
841649_1,841649,649183,2022-02-18,,,,1,2022-02-22 09:29:20,2022-04-29 13:38:36,27,,MERGED-ID
841649_3,841649,649183,2022-04-21,,,,3,2022-02-22 09:29:20,2022-04-29 13:38:36,27,,MERGED-ID
850920_1,850920,649475,2022-05-17,,,,1,2022-05-23 10:27:16,2022-05-23 10:34:44,27,,MERGED-ID
850920_3,850920,649475,2022-05-18,,,,3,2022-05-23 10:27:16,2022-05-23 10:34:44,27,,MERGED-ID
838557_1,838557,652104,2022-01-25,,,,1,2022-01-26 16:36:00,2022-02-08 15:38:54,27,,MERGED-ID
838557_3,838557,652104,2022-01-27,,,,3,2022-01-26 16:36:00,2022-02-08 15:38:54,27,,MERGED-ID
840198_1,840198,652104,2022-02-02,,,,1,2022-02-08 15:39:47,2022-02-08 15:43:32,27,,MERGED-ID
840198_3,840198,652104,2022-02-06,,,,3,2022-02-08 15:39:47,2022-02-08 15:43:32,27,,MERGED-ID
840199_3,840199,652104,2022-02-07,,,,3,2022-02-08 15:45:02,2022-02-08 15:46:16,27,,MERGED-ID
840199_1,840199,652104,2022-02-07,,,,1,2022-02-08 15:45:02,2022-02-08 15:46:16,27,,MERGED-ID
840321_1,840321,652404,2022-01-26,,,,1,2022-02-09 14:00:37,2022-02-09 14:02:11,27,,MERGED-ID
840321_3,840321,652404,2022-01-28,,,,3,2022-02-09 14:00:37,2022-02-09 14:02:11,27,,MERGED-ID
840323_1,840323,652404,2022-01-20,,,,1,2022-02-09 14:02:57,2022-02-09 14:04:11,27,,MERGED-ID
840323_3,840323,652404,2022-01-20,,,,3,2022-02-09 14:02:57,2022-02-09 14:04:11,27,,MERGED-ID
840325_3,840325,652404,2022-01-22,,,,3,2022-02-09 14:05:49,2022-02-09 14:06:32,27,,MERGED-ID
840325_1,840325,652404,2022-01-22,,,,1,2022-02-09 14:05:49,2022-02-09 14:06:32,27,,MERGED-ID
840327_1,840327,652404,2022-01-31,,,,1,2022-02-09 14:07:10,2022-07-11 08:42:04,30,,MERGED-ID
840327_3,840327,652404,2022-02-01,,,,3,2022-02-09 14:07:10,2022-07-11 08:42:04,30,,MERGED-ID
857542_1,857542,656161,2022-07-25,,,,1,2022-07-26 13:30:28,2022-08-04 13:34:51,27,,MERGED-ID
857542_3,857542,656161,2022-08-02,,,,3,2022-07-26 13:30:28,2022-08-04 13:34:51,27,,MERGED-ID
851403_1,851403,657977,2022-05-26,,,,1,2022-05-27 08:35:34,2022-06-24 08:55:08,30,,MERGED-ID
851403_3,851403,657977,2022-06-16,,,,3,2022-05-27 08:35:34,2022-06-24 08:55:08,30,,MERGED-ID
839655_1,839655,663494,2022-01-21,,,,1,2022-02-03 15:23:31,2022-02-03 15:42:28,27,,MERGED-ID
839655_3,839655,663494,2022-01-21,,,,3,2022-02-03 15:23:31,2022-02-03 15:42:28,27,,MERGED-ID
851309_1,851309,671594,2022-05-26,,,,1,2022-05-26 10:00:14,2022-05-26 10:02:18,27,,MERGED-ID
851309_3,851309,671594,2022-05-26,,,,3,2022-05-26 10:00:14,2022-05-26 10:02:18,27,,MERGED-ID
838116_1,838116,674923,2022-01-22,,,,1,2022-01-24 17:20:41,2022-03-10 10:53:52,27,,MERGED-ID
838116_3,838116,674923,2022-03-04,,,,3,2022-01-24 17:20:41,2022-03-10 10:53:52,27,,MERGED-ID
826156_1,826156,676251,2021-09-27,,,,1,2021-09-29 09:01:53,2021-10-04 09:50:48,28,,MERGED-ID
826156_3,826156,676251,2021-10-01,,,,3,2021-09-29 09:01:53,2021-10-04 09:50:48,28,,MERGED-ID
837179_1,837179,677848,2022-01-07,,,,1,2022-01-16 12:21:37,2022-02-09 14:19:34,27,,MERGED-ID
837179_3,837179,677848,2022-01-08,,,,3,2022-01-16 12:21:37,2022-02-09 14:19:34,27,,MERGED-ID
848830_1,848830,677848,2022-03-14,,,,1,2022-04-29 13:47:14,2022-06-24 09:57:18,27,,MERGED-ID
848830_3,848830,677848,2022-04-20,,,,3,2022-04-29 13:47:14,2022-06-24 09:57:18,27,,MERGED-ID
845434_1,845434,678521,2022-03-25,,,,1,2022-03-29 15:14:59,2022-05-23 08:03:02,27,,MERGED-ID
845434_3,845434,678521,2022-05-20,,,,3,2022-03-29 15:14:59,2022-05-23 08:03:02,27,,MERGED-ID
839660_1,839660,681195,2022-02-02,,,,1,2022-02-03 15:43:38,2022-07-11 08:52:08,30,,MERGED-ID
839660_3,839660,681195,2022-02-27,,,,3,2022-02-03 15:43:38,2022-07-11 08:52:08,30,,MERGED-ID
853536_1,853536,683544,2022-06-06,,,,1,2022-06-16 09:45:29,2022-06-16 09:46:56,30,,MERGED-ID
853536_3,853536,683544,2022-06-06,,,,3,2022-06-16 09:45:29,2022-06-16 09:46:56,30,,MERGED-ID
853473_1,853473,683819,2022-06-08,,,,1,2022-06-15 20:20:38,2022-07-06 05:59:40,30,,MERGED-ID
853473_3,853473,683819,2022-06-22,,,,3,2022-06-15 20:20:38,2022-07-06 05:59:40,30,,MERGED-ID
854359_1,854359,683819,2022-06-23,,,,1,2022-06-24 09:10:17,2022-06-24 09:12:14,30,,MERGED-ID
854359_3,854359,683819,2022-06-24,,,,3,2022-06-24 09:10:17,2022-06-24 09:12:14,30,,MERGED-ID
855144_1,855144,683819,2022-06-30,,,,1,2022-07-01 07:48:17,2022-07-11 06:12:30,30,,MERGED-ID
855144_3,855144,683819,2022-07-11,,,,3,2022-07-01 07:48:17,2022-07-11 06:12:30,30,,MERGED-ID
815214_1,815214,683911,2020-11-12,,,,1,2021-06-14 08:09:58,2022-02-09 14:16:20,27,,MERGED-ID
815214_3,815214,683911,2021-11-13,,,,3,2021-06-14 08:09:58,2022-02-09 14:16:20,27,,MERGED-ID
839459_1,839459,683921,2022-01-28,,,,1,2022-02-02 14:03:30,2022-06-24 11:43:09,30,,MERGED-ID
839459_3,839459,683921,2022-01-28,,,,3,2022-02-02 14:03:30,2022-06-24 11:43:09,30,,MERGED-ID
823944_1,823944,684702,2021-09-07,,,,1,2021-09-07 11:39:45,2021-10-01 09:03:07,28,,MERGED-ID
823944_3,823944,684702,2021-10-01,,,,3,2021-09-07 11:39:45,2021-10-01 09:03:07,28,,MERGED-ID
