ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,ResidentialAffiliation,TrackingMethod,HMISParticipatingProject,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1560,7007,DataLab - TH ESG,DataLab - TH ESG ,2004-04-01,,1,2,2,,,1,4,1,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1568,7007,Datalab - SO PATH,Datalab - SO PATH ,2012-01-01,,1,4,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
942,7007,DataLab - Coordinated Entry,DataLab - Coordinated Entry ,2010-01-01,,1,14,,,0,1,4,2,0,2022-05-03 00:00:00,2022-05-03 00:00:00,8,,MERGED-ID
1547,7007,DataLab - ES-EE ESG II (with CE elements),DataLab - ES-EE ESG II (with CE elements) ,2018-05-01,,1,1,1,,0,1,4,0,0,2022-05-03 00:00:00,2022-05-03 00:00:00,8,,MERGED-ID
1565,7007,DataLab - SO CoC,DataLab - SO CoC ,2019-01-18,,1,4,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1552,7007,DataLab - PSH CoC I,DataLab - PSH CoC I ,2018-10-01,,1,3,2,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
1544,7007,DataLab - ES-EE RHY,DataLab - ES-EE RHY ,2014-01-01,,1,1,1,,0,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1566,7007,DataLab - SO ESG,DataLab - SO ESG ,2017-07-01,,1,4,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1559,7007,Datalab - TH RHY,Datalab - TH RHY ,2018-10-01,,1,2,3,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1557,7007,DataLab - SH VA-HCHV,DataLab - SH VA-HCHV ,2016-10-01,,1,8,1,,,1,4,0,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1555,7007,DataLab - RRH CoC II,DataLab - RRH CoC II ,2018-07-31,,1,13,3,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
1561,7007,DataLab - TH CoC,DataLab - TH CoC ,1996-07-01,,1,2,1,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
1564,7007,DataLab - HP ESG,DataLab - HP ESG ,2011-01-01,,1,12,,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1558,7007,DataLab - TH HOPWA,DataLab - TH HOPWA ,2014-10-28,,1,2,2,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
1551,7007,DataLab - PSH VASH,DataLab - PSH VASH ,2007-09-01,,1,3,1,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
1550,7007,DataLab - PSH HOWPA,DataLab - PSH HOWPA ,2010-11-01,,1,3,3,,,1,3,0,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1553,7007,Datalab - RRH VA,Datalab - RRH VA ,2016-12-01,,1,13,3,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1567,7007,DataLab - SSO CoC,DataLab - SSO CoC ,2011-12-12,,1,6,,0,,1,4,2,0,2022-05-05 00:00:00,2022-05-05 00:00:00,889,,MERGED-ID
1562,7007,Datalab - TH YHDP,Datalab - TH YHDP ,2018-07-31,,1,2,3,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
1548,7007,DataLab - ES-NbN ESG ,DataLab - ES-NbN ESG ,2012-02-06,,1,1,1,,3,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1546,7007,DataLab - ES-EE ESG I,DataLab - ES-EE ESG I ,2020-10-01,,1,1,1,,0,1,4,2,0,2022-04-12 00:00:00,2022-04-12 00:00:00,889,,MERGED-ID
1554,7007,DataLab - RRH CoC I,DataLab - RRH CoC I ,2019-06-01,,0,13,2,,,0,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1563,7007,DataLab - TH VA,DataLab - TH VA ,2017-07-01,,1,2,2,,,1,4,2,0,2022-04-10 00:00:00,2022-04-10 00:00:00,889,,MERGED-ID
1556,7007,DataLab - RRH ESG I,DataLab - RRH ESG I ,2021-07-01,,1,13,3,,,1,4,2,0,2022-04-11 00:00:00,2022-04-11 00:00:00,889,,MERGED-ID
