"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x4yr_3xcpa","193014","93541",2021-07-01,99,99,0,,99,1,2022-02-10 00:00:00,2022-02-10 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4ys_3xcww","193014_28120","93542",2021-07-01,99,99,0,,99,1,2022-02-10 00:00:00,2022-02-10 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yt_3xcyg","193042","93543",2021-07-01,99,99,0,,99,1,2022-02-03 00:00:00,2022-02-13 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yu_3xd3g","193042_28074","93544",2021-07-01,99,99,99,,,1,2022-02-03 00:00:00,2022-02-03 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yv_3xd4k","189429","93545",2021-07-01,99,99,0,,99,1,2022-02-03 00:00:00,2022-02-03 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yw_3x9sx","192963","93546",2021-07-01,99,99,1,99,,1,2022-02-03 00:00:00,2022-02-03 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yx_3xaep","192929","93547",2021-07-01,99,99,0,,99,1,2022-02-04 00:00:00,2022-02-04 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yy_3x0u9","192929_28082","93548",2021-07-01,99,99,99,,,1,2022-02-04 00:00:00,2022-02-04 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4yz_3xazb","192929_28122","93549",2021-07-01,99,99,99,,,1,2022-02-04 00:00:00,2022-02-04 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4za_3x0ft","193122","93560",2021-07-01,99,99,0,,99,1,2022-02-04 00:00:00,2022-02-04 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4zb_3x0hd","193122_28109","93561",2021-07-01,99,99,99,,,1,2022-02-04 00:00:00,2022-02-04 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4zc_3xbv0","193122_28073","93562",2021-07-01,99,99,99,,,1,2022-02-04 00:00:00,2022-02-04 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x4zd_3xbcx","193070","93563",2021-07-01,99,99,1,99,,1,2022-02-09 00:00:00,2022-02-09 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x527_3xako","193048","93623",2021-07-23,99,99,0,,99,1,2022-01-31 00:00:00,2022-01-31 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x528_3xcfe","193048_28118","93624",2021-07-23,99,99,99,,,1,2022-01-31 00:00:00,2022-01-31 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
"_3x529_3x0wb","193048_28085","93625",2021-07-23,99,99,99,,,1,2022-01-31 00:00:00,2022-01-31 00:00:00,"0",,"B548758310BF31D18CD7945276FDB7D5"
