"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x25j_3x077","189444_27491","90443",2021-01-19,99,99,0,,2,1,2021-01-19 00:00:00,2021-01-19 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x26f_3x0p1","190047","90473",2021-02-12,5,99,0,,1,1,2021-04-20 00:00:00,2022-03-02 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2bc_3x94w","189444_27489","90662",2021-01-19,99,99,0,,2,1,2021-01-19 00:00:00,2021-01-19 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2jd_3xcky","190498","90911",2020-12-01,5,99,0,,2,1,2020-12-17 00:00:00,2020-12-17 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2kd_3x9bp","190291","90940",2021-01-26,5,99,0,,2,1,2021-01-27 00:00:00,2021-11-17 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2mc_3x0wc","190672","91003",2020-01-22,5,99,0,,2,1,2022-02-01 00:00:00,2022-02-01 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2o0_3xava","192877","91067",2020-07-29,5,99,0,,2,1,2020-12-17 00:00:00,2020-12-17 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2oa_3x01h","192280","91068",2020-10-14,5,99,1,1,,1,2021-01-06 00:00:00,2021-01-06 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2oc_3x9el","190107","91070",2020-09-17,14,99,1,2,,1,2021-07-13 00:00:00,2021-07-13 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2om_3x03t","191105","91080",2020-06-16,10,99,0,,1,1,2021-06-25 00:00:00,2021-06-25 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2oo_3xcaa","192885","91082",2020-10-08,10,99,1,1,,1,2021-02-02 00:00:00,2021-02-02 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2ov_3x9u0","189440","91088",2020-05-27,5,99,0,,2,1,2021-05-24 00:00:00,2021-05-24 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2p0_3xd3v","190586_27681","91101",2020-04-09,99,99,0,,99,1,2020-04-13 00:00:00,2020-10-16 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2p3_3x9ws","191481","91094",2020-06-24,5,99,0,,2,1,2020-12-07 00:00:00,2020-12-07 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2p4_3xau9","190869_27739","91095",2020-08-20,5,99,0,,3,1,2020-11-02 00:00:00,2020-11-02 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2p5_3xak3","192833","91096",2020-07-30,5,99,1,1,,1,2020-11-02 00:00:00,2020-11-02 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2p7_3xcao","190586_27678","91098",2020-04-09,5,99,0,,99,1,2020-04-13 00:00:00,2020-04-13 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2pj_3xc3v","192869","91110",2020-07-24,5,99,0,,1,1,2021-06-03 00:00:00,2021-06-03 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2pm_3x05p","192429","91113",2020-07-17,5,99,0,,1,1,2021-06-09 00:00:00,2021-06-09 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2po_3x0c0","191839","91115",2020-08-26,5,99,0,,2,1,2021-09-27 00:00:00,2021-09-27 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2pz_3xapp","190586_27679","91126",2020-04-09,99,99,0,,99,1,2020-04-13 00:00:00,2021-04-23 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2q2_3xaw8","190586_27680","91128",2020-04-09,99,99,0,,99,1,2020-04-13 00:00:00,2020-04-13 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
"_3x2q4_3xd0d","192833_28069","91130",2020-07-30,5,99,0,,99,1,2020-07-30 00:00:00,2020-07-30 00:00:00,"0",,"CB5C3AE021E549E4E5E5881E30243DE8"
