"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x2el_3x0b6","190244","90760",2020-08-11,99,99,0,,99,1,2021-04-21 00:00:00,2022-03-10 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x2kz_","190255","90961",2021-09-27,99,99,99,,,1,2021-09-29 00:00:00,2021-09-29 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x2lf_","190215","90972",2021-09-24,99,99,99,,,1,2022-03-11 00:00:00,2022-03-11 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x2m3_","190574","90993",2021-08-16,99,99,99,,,1,2021-09-14 00:00:00,2021-09-14 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x2tu_3xcur","190989","91249",2020-08-14,99,99,99,,,1,2021-04-23 00:00:00,2021-04-23 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x2v8_3xbrt","190879","91287",2020-11-01,99,99,0,,99,1,2021-04-21 00:00:00,2021-04-21 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x4at_3x07v","191219","92791",2020-08-17,99,99,99,,,1,2021-04-23 00:00:00,2021-11-19 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x4l6_3xctq","193090","93128",2021-03-09,99,99,0,,99,1,2022-03-09 00:00:00,2022-03-09 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x4pa_","193158","93257",2021-09-24,99,99,99,,,1,2021-10-22 00:00:00,2021-10-22 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x4wv_3xb9d","190383","93480",2021-08-16,99,99,99,,,1,2021-09-14 00:00:00,2022-03-09 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x4ya_3xd8a","192424","93526",2020-10-13,99,99,99,,,1,2021-04-21 00:00:00,2021-04-21 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x552_3x8wp","190298","93719",2020-08-11,99,99,99,,,1,2021-04-22 00:00:00,2022-03-11 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3x5fl_","190245","94099",2021-09-27,99,99,99,,,1,2022-03-11 00:00:00,2022-03-11 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"_3yn3b_3x9tv","190268","92047",2020-09-22,99,99,99,,,1,2021-04-21 00:00:00,2022-05-04 00:00:00,"889",,"7DBFA440C094948C56CAD3D7F3644ECA"
"4908245__3xcwn","190383","93480",2021-09-17,99,99,0,,99,3,2021-11-19 00:00:00,2021-11-19 00:00:00,"0",,"7DBFA440C094948C56CAD3D7F3644ECA"
"4975428__3x99c","190268","92047",2020-10-22,99,99,0,,99,3,2021-11-09 00:00:00,2022-05-04 00:00:00,"889",,"7DBFA440C094948C56CAD3D7F3644ECA"
