"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"__3xd6j","191858","91533",2021-05-21,99,99,99,,,3,2021-09-03 00:00:00,2021-09-03 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x23t_","190263","90386",2021-09-20,8,99,99,,,1,2021-12-10 00:00:00,2021-12-10 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x2im_","193184","90892",2021-05-13,9,99,99,,,1,2022-03-11 00:00:00,2022-03-11 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x2k2_3x961","192029","90932",2019-05-23,99,99,99,,,1,2021-01-19 00:00:00,2021-09-30 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x31e_3xc0f","193001","91423",2021-01-29,9,99,99,,,1,2021-03-31 00:00:00,2022-03-11 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x31m_3x0qp","190442","91430",2019-12-13,99,99,99,,,1,2019-12-13 00:00:00,2021-09-30 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x31r_3xac0","192015","91435",2020-11-05,99,99,99,,,1,2021-02-04 00:00:00,2021-02-04 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x328_3x98b","193065","91450",2019-11-20,9,99,99,,,1,2021-02-04 00:00:00,2022-03-18 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x330_3xa9v","192515","91482",2021-08-01,99,99,0,,99,1,2021-10-18 00:00:00,2022-01-26 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x331_","190028","91474",2020-08-24,99,99,99,,,1,2020-08-24 00:00:00,2020-08-24 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x333_3x05f","190050","91476",2019-11-07,99,99,99,,,1,2019-11-19 00:00:00,2021-09-30 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x334_3xbhf","190123","91477",2019-05-24,99,99,99,,,1,2019-05-24 00:00:00,2019-05-24 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x339_3x0z7","190274","91482",2018-05-10,99,99,99,,,1,2021-01-19 00:00:00,2022-01-26 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x33k_3x0dr","191177","91493",2019-10-23,99,99,99,,,1,2021-01-19 00:00:00,2021-01-20 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x33n_","192456","91496",2019-11-13,99,99,99,,,1,2021-01-21 00:00:00,2021-01-21 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x33p_3xcfz","192464","91498",2019-08-05,99,99,99,,,1,2021-01-19 00:00:00,2021-01-19 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x343_3xa27","190040","91507",2021-01-26,99,99,99,,,1,2021-01-29 00:00:00,2021-05-07 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x344_3xd85","190124","91508",2020-09-17,99,99,99,,,1,2021-02-09 00:00:00,2021-02-09 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
"_3x34e_3x0ny","192994","91516",2020-10-26,5,99,99,,,1,2021-01-18 00:00:00,2022-03-11 00:00:00,"0",,"179BA600DC5B82A79EAE4EAA99920BB6"
