"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x20d_3xa8e","193046","90601",2017-05-26,99,99,0,,99,1,2020-11-09 00:00:00,2020-11-09 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x25p_3x94q","192853","90449",2019-01-28,99,99,1,99,,1,2020-11-09 00:00:00,2020-11-09 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x26z_3x9ib","190295","90488",2020-06-17,99,99,0,,99,1,2020-06-17 00:00:00,2020-06-17 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x289_3xb3m","192863","90529",2018-08-14,99,99,0,,99,1,2018-11-26 00:00:00,2018-11-26 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x29k_3xcwg","192017","90574",2018-08-16,99,99,1,99,,1,2018-11-27 00:00:00,2021-11-19 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2dj_3x0da","193045","90730",2016-04-04,99,99,0,,99,1,2017-07-12 00:00:00,2018-10-22 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2ib_3xb48","193194","90882",2016-10-31,99,99,0,,99,1,2017-07-10 00:00:00,2017-07-10 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2jc_3xcne","192931","90910",2019-09-24,99,99,99,,,1,2020-11-09 00:00:00,2020-11-09 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2lh_3xcco","193016","90973",2019-12-30,99,99,1,99,,1,2021-01-06 00:00:00,2021-01-06 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2mp_3xclk","193018","91015",2020-01-13,99,99,1,99,,1,2020-01-15 00:00:00,2020-01-15 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2n3_3xan2","191193","91027",2019-10-09,99,99,0,,99,1,2019-10-09 00:00:00,2019-10-09 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2n6_3xcus","193111","91030",2019-11-14,99,99,0,,99,1,2020-11-17 00:00:00,2020-11-17 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2nk_3x0qj","193022","91044",2019-11-21,99,99,0,,99,1,2020-08-04 00:00:00,2020-08-04 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
"_3x2nx_3xcgb","192937","91056",2019-12-31,99,99,0,,99,1,2019-12-31 00:00:00,2021-11-16 00:00:00,"0",,"9AE541577FC04ED9102C5FEAE776D111"
