"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x2b6_3x07j","193011","90655",2021-01-25,99,99,0,,99,1,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2vk_3xapc","193131","91298",2021-03-22,99,99,1,99,,1,2021-07-07 00:00:00,2021-07-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2xr_3x9v3","193131_28090","91349",2021-03-22,99,99,99,,,1,2021-03-22 00:00:00,2021-03-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2y1_3x8ws","190014","91356",2020-06-26,99,99,0,,99,1,2021-02-11 00:00:00,2021-03-29 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2y3_3xbw4","190014_27623","91358",2020-06-26,99,99,99,,,1,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2z3_3xd4y","190014_27624","91384",2020-06-26,99,99,99,,,1,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2z6_3x0rl","190018","91387",2020-06-09,99,99,99,,,1,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x2zu_3x08y","190018_27625","91407",2020-06-09,99,99,99,,,1,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x310_3xble","191155","91419",2020-06-09,99,99,1,99,,1,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x31q_3xd7d","192461_28022","91434",2020-04-16,99,99,1,99,,1,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x322_3xan3","192366_28013","91444",2019-12-11,99,99,99,,,1,2021-02-05 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x32c_3xa3s","193011_28128","91454",2021-01-25,99,99,99,,,1,2021-02-10 00:00:00,2021-02-10 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x332_3xbg6","192366","91475",2019-12-11,99,99,1,99,,1,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x33d_3xbuu","192461","91486",2020-04-16,99,99,99,,,1,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x33f_3xcxx","192461_28023","91488",2020-04-16,99,99,99,,,1,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x33x_3xa48","192461_28024","91504",2020-04-16,99,99,99,,,1,2021-02-07 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x349_3x9ef","192366_28012","91512",2019-12-11,99,99,99,,,1,2021-02-05 00:00:00,2021-02-07 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x3mm_3xab9","193191","92050",2021-09-21,99,99,0,,99,1,2021-09-22 00:00:00,2021-09-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"_3x3mn_3xcxc","193191_28117","92051",2021-09-21,99,99,99,,,1,2021-09-22 00:00:00,2021-09-22 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905840__3xchu","190014","91356",2021-03-26,99,99,0,,99,3,2021-03-29 00:00:00,2021-03-29 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905842__3xcrk","190014_27623","91358",2021-03-26,99,99,99,,,3,2021-03-29 00:00:00,2021-03-29 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905878__3x0pj","190014_27624","91384",2021-03-26,99,99,99,,,3,2021-03-29 00:00:00,2021-03-29 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905881__3x8ze","190018","91387",2021-03-09,99,99,1,99,,3,2021-03-11 00:00:00,2021-03-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905905__3xbum","190018_27625","91407",2021-03-09,99,99,99,,,3,2021-03-11 00:00:00,2021-03-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905920__3xdac","191155","91419",2021-03-09,99,99,1,99,,3,2021-03-11 00:00:00,2021-03-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905935__3xb8h","192461_28022","91434",2021-01-15,99,99,1,99,,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905944__3xbmq","192366_28013","91444",2020-10-01,99,99,99,,,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905974__3xbpa","192366","91475",2020-10-01,99,99,0,,99,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905984__3xce7","192461","91486",2021-01-15,99,99,0,,99,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4905985__3xaov","192461_28023","91488",2021-01-15,99,99,99,,,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4906001__3xass","192461_28024","91504",2021-01-15,99,99,99,,,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
"4906010__3x9kd","192366_28012","91512",2020-10-01,99,99,99,,,3,2021-02-11 00:00:00,2021-02-11 00:00:00,"0",,"05D1667E5DBBA5D880E441B1ADDC1CE1"
