"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3x26v_3x9rh","190237","90485",2019-09-01,5,3,0,,1,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x292_3x9zf","190337","90557",2018-12-12,5,3,0,,1,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x29f_3x8x3","190220_27637","90569",2019-04-02,4,2,0,,2,1,2019-11-04 00:00:00,2019-11-04 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x29o_3x9ya","192012","90578",2019-08-12,5,4,0,,1,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2ba_3x0fo","190206","90660",2019-05-04,4,1,1,2,,1,2019-11-04 00:00:00,2019-11-05 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2cz_3x9h1","190680","90712",2019-08-12,10,3,1,2,,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2hv_3xab1","190220","90868",2019-04-02,7,3,0,,1,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2og_3x9pk","193074","91074",2020-09-25,4,1,1,2,,1,2020-11-16 00:00:00,2021-09-10 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2oj_3x9no","192979","91077",2019-07-29,10,3,1,2,,1,2020-11-15 00:00:00,2020-11-15 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2pf_3xbib","193023","91106",2020-01-06,10,1,1,1,,1,2020-11-15 00:00:00,2020-11-15 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2s2_3x9lk","192134","91192",2019-08-08,5,3,1,1,,1,2020-11-14 00:00:00,2020-11-14 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2t0_3x9t2","192989","91229",2019-06-19,5,3,0,,1,1,2020-11-15 00:00:00,2021-11-15 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x2ul_3xa3n","192987","91271",2020-06-09,7,4,1,2,,1,2020-11-15 00:00:00,2020-11-15 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x31f_3xczf","190267","91424",2020-12-08,10,4,0,,1,1,2021-04-01 00:00:00,2021-04-01 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x33w_3xbh5","192968","91503",2020-12-23,10,3,1,1,,1,2022-02-21 00:00:00,2022-02-21 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x3bs_3xcfx","191726","91745",2019-09-15,4,1,0,,1,1,2021-04-28 00:00:00,2021-04-28 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x3fj_3x9wt","192949","91857",2019-10-24,4,2,1,2,,1,2021-04-28 00:00:00,2021-04-28 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x4x3_","192933","93486",2021-01-11,99,99,99,,,1,2021-09-10 00:00:00,2021-09-10 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x51n_3x9vc","193106","93606",2021-08-25,5,3,1,2,,1,2022-01-14 00:00:00,2022-01-14 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x55e_3xbkj","192135","93727",2019-09-05,5,3,1,2,,1,2020-11-14 00:00:00,2020-11-14 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
"_3x58h_3xchs","190182","93831",2019-05-23,7,4,0,,1,1,2020-11-16 00:00:00,2020-11-16 00:00:00,"0",,"FC441CC92F51873B6BC3E171E8465759"
