"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"__3x054","192923","92115",2020-06-03,99,99,0,,99,3,2020-06-11 00:00:00,2020-06-11 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"__3x9i1","190265","92248",2020-07-08,99,99,0,,99,3,2020-10-01 00:00:00,2020-10-01 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"__3xare","193130","92228",2020-04-23,99,99,0,,99,3,2020-05-08 00:00:00,2020-05-08 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3mx_3xalo","190313","92061",2020-06-24,99,99,0,,99,1,2020-06-26 00:00:00,2021-07-01 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3ne_3xabz","193039","92075",2020-04-22,99,99,1,99,,1,2020-04-23 00:00:00,2020-04-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3og_3x0zw","193027","92110",2020-01-21,99,99,0,,99,1,2020-01-22 00:00:00,2020-03-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3om_","192923","92115",2020-06-03,99,99,99,,,1,2020-06-03 00:00:00,2020-06-03 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3pv_3xb8r","190176","92152",2020-02-24,99,99,0,,99,1,2020-02-25 00:00:00,2020-03-31 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3sf_","193130","92228",2020-04-23,99,99,99,,,1,2020-05-01 00:00:00,2020-05-01 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3t3_","190265","92248",2020-07-08,99,99,99,,,1,2020-07-09 00:00:00,2020-07-09 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3u8_3xcof","192975","92270",2019-08-19,99,99,0,,99,1,2019-08-19 00:00:00,2019-08-19 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3vt_3xcg3","193030","92323",2019-08-02,99,99,0,,99,1,2019-08-06 00:00:00,2019-09-03 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3w0_3xd1u","193138","92336",2020-05-11,99,99,0,,99,1,2020-05-13 00:00:00,2020-05-13 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3wj_3xby2","193071","92342",2020-03-23,99,99,0,,99,1,2020-03-23 00:00:00,2020-03-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"_3x3wn_","192976","92345",2020-07-22,99,99,99,,,1,2020-07-23 00:00:00,2020-07-23 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4906691__3xc19","190313","92061",2021-04-15,99,99,0,,99,3,2022-02-13 00:00:00,2022-02-13 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4906771__3xd0i","190176","92152",2020-11-05,99,99,0,,99,3,2022-02-13 00:00:00,2022-02-13 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
"4906866__3xcwi","190265","92248",2020-10-01,99,99,0,,99,3,2022-02-10 00:00:00,2022-02-10 00:00:00,"0",,"F3F69EFAE5FE342AA97C557E0968E88B"
