"Income bracket","Income at start","Income at latest annual assessment for stayers","Income at exit for leavers"
"a. no income",16,0,15
"b. $1 - $150",3,0,2
"c. $151 - $250",0,1,0
"d. $251 - $500",3,0,2
"e. $501 - $1000",3,0,2
"f. $1,001 - $1,500",2,1,1
"g. $1,501 - $2,000",0,0,0
"h. $2,001+",0,0,0
"i. Client Doesn't Know/Client Refused",0,0,0
"j. Data Not Collected",2,0,2
"k. Number of adult stayers not yet required to have an annual assessment",,3,
"l. Number of adult stayers without required annual assessment",,0,
"n. Total adults",29,5,24
