" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. 7 days or less","1","1","0","0","0"
"b. 8-14 days","0","0","0","0","0"
"c. 15-21 days","0","0","0","0","0"
"d. 22 to 30 days","1","0","1","0","0"
"e. 31 to 60 days","1","1","0","0","0"
"f. 61 to 180 days","1","0","0","0","1"
"g. 181 to 365 days","2","0","2","0","0"
"h. 366 to 730 days (1 – 2 yrs.)","3","0","2","1","0"
"i. Total (persons moved into housing)","11","2","7","1","1"
"j. Average length of time to housing","341.27","30.00","445.71","457.00","117.00"
"k. Persons who were exited without move-in","22","12","8","2","0"
"l. Total persons","33","14","15","3","1"
