"Source","At start","At latest annual assessment for stayers","At exit for leavers"
"a. MEDICAID",1,0,1
"b. MEDICARE",1,0,1
"c. State Children's Health Insurance",2,0,2
"d. Veteran's Administration (VA) Medical Services",1,1,0
"e. Employer-provided health insurance",1,0,1
"f. Health insurance obtained through COBRA",1,0,1
"g. Private pay health insurance",2,0,2
"h. State Health Insurance for Adults",3,0,3
"i. Indian Health Services Program",0,0,0
"j. Other",0,0,0
"k. No health insurance",21,0,21
"l. Client doesn't know/Client refused",2,0,2
"m. Data not collected",3,1,2
"n. Number of adult stayers not yet required to have an annual assessment",,0,
"o. 1 source of health insurance",10,1,9
"p. More than 1 source of health insurance",1,0,1
