" ","AO:Adult with Disabling Condition","AO:Adult without Disabling Condition","AO:Total Adults","AO:% with Disabling Condition by Source","AC:Adult with Disabling Condition","AC:Adult without Disabling Condition","AC:Total Adults","AC:% with Disabling Condition by Source","UK:Adult with Disabling Condition","UK:Adult without Disabling Condition","UK:Total Adults","UK:% with Disabling Condition by Source"
"a. Earned Income","1","","1","1.0000","","","","","","1","1","0"
"b. Supplemental Security Income (SSI)","1","","1","1.0000","","","","","","","",""
"c. Social Security Disability Insurance (SSDI)","","","","","","","","","","","",""
"d. VA Service-Connected Disability Compensation","","","","","","","","","","","",""
"e. Private Disability Insurance","","","","","","","","","","","",""
"f. Worker's Compensation","1","","1","1.0000","","","","","","","",""
"g. Temporary Assistance for Needy Families (TANF)","","","","","","","","","","","",""
"h. Retirement Income from Social Security","","1","1","0","","","","","","","",""
"i. Pension or retirement income from a former job","","1","1","0","","1","1","0","","","",""
"j. Child Support","","","","","","","","","","1","1","0"
"k. Other source","","1","1","0","","2","2","0","","","",""
"l. No Sources","","10","10","0","","4","4","0","","","",""
"m. Unduplicated Total Adults","2","12","14","","","7","7","","","1","1",""
