" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"a. Able to maintain the housing they had at project start--Without a subsidy","0","0","0","0","0"
"b. Able to maintain the housing they had at project start--With the subsidy they had at project start","0","0","0","0","0"
"c. Able to maintain the housing they had at project start--With an on-going subsidy acquired since project start","0","0","0","0","0"
"d. Able to maintain the housing they had at project start--Only with financial assistance other than a subsidy","0","0","0","0","0"
"e. Moved to new housing unit--With on-going subsidy","0","0","0","0","0"
"f. Moved to new housing unit--Without an on-going subsidy","0","0","0","0","0"
"g. Moved in with family/friends on a temporary basis","0","0","0","0","0"
"h. Moved in with family/friends on a permanent basis","0","0","0","0","0"
"i. Moved to a transitional or temporary housing facility or program","0","0","0","0","0"
"j. Client became homeless - moving to a shelter or other place unfit for human habitation","0","0","0","0","0"
"k. Client went to jail/prison","0","0","0","0","0"
"l. Client died","0","0","0","0","0"
"m. Client doesn't know/Client refused","0","0","0","0","0"
"n. Data not collected (no exit interview completed)","0","0","0","0","0"
"o. Total","0","0","0","0","0"
