"Assessment/Event","Total Occurrences","Successful Referral","Unsuccessful Referral: client rejected","Unsuccessful Referral: provider rejected","Re-housed in safe alternative","Enrolled in aftercare"
"Crisis Needs Assessment",3,,,,,
"Housing Needs Assessment",8,,,,,
"Referral to Prevention Assistance project",0,,,,,
"Problem Solving/Diversion/Rapid Resolution intervention or service",1,,,,0,
"Referral to scheduled Coordinated Entry Crisis Needs Assessment",2,,,,,
"Referral to scheduled Coordinated Entry Housing Needs Assessment ",0,,,,,
"Referral to post-placement/follow-up case management",0,,,,,0
"Referral to Street Outreach project or services",0,,,,,
"Referral to Housing Navigation project or services",0,,,,,
"Referral to Non-continuum services: Ineligible for continuum services",0,,,,,
"Referral to Non continuum services: No availability in continuum services",0,,,,,
"Referral to Emergency Shelter bed opening",0,0,0,0,,
"Referral to Transitional Housing bed/unit opening",0,0,0,0,,
"Referral to Joint TH-RRH project/unit/resource opening",1,1,0,0,,
"Referral to RRH project resource opening",1,1,0,0,,
"Referral to PSH project resource opening",0,0,0,0,,
"Referral to Other PH project/unit/resource opening",0,0,0,0,,
"Referral to emergency assistance/flex fund/furniture assistance",1,,,,,
"Referral to Emergency Housing Voucher (EHV)",2,1,0,1,,
"Referral to a Housing Stability Voucher",1,1,0,0,,
