" ","Total","a. Without children","b. With children and adults","c. With only children","d. Unknown household type"
"Post-placement/follow-up case management","0","0","0","0","0"
"Street Outreach project or services","0","0","0","0","0"
"Housing Navigation project or services","0","0","0","0","0"
"Non-continuum services: Ineligible for continuum services","0","0","0","0","0"
"Non continuum services: No availability in continuum services","0","0","0","0","0"
"Emergency Shelter bed opening","0","0","0","0","0"
"Transitional Housing bed/unit opening","0","0","0","0","0"
"Joint TH-RRH project/unit/resource opening","1","0","1","0","0"
"RRH project resource opening","0","0","0","0","0"
"PSH project resource opening","0","0","0","0","0"
"Other PH project","0","0","0","0","0"
"Referral to emergency assistance/flex fund/furniture assistance","0","0","0","0","0"
"Referral to Emergency Housing Voucher (EHV)","1","1","0","0","0"
"Referral to a Housing Stability Voucher","1","1","0","0","0"
"Total","3","2","1","0","0"
"Of the total HH prioritized (Q9b row 1) what percentage received a referral","0","0","","",""
"Result: successful referral: client accepted","2","1","1","0","0"
"Result: Unsuccessful referral: client rejected","0","0","0","0","0"
"Result: Unsuccessful referral: provider rejected","1","1","0","0","0"
"No result recorded","0","0","0","0","0"
"Result:  Enrolled in Aftercare project","0","0","0","0","0"
"Percent of successful referrals to residential projects","0.6666","0.5000","1.0000","",""
