"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3uali_3ualj","181582","76773",2020-05-01,99,99,1,99,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3ualq_3ualr","181583","76774",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3ualu_3ualx","181583_26151","76775",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uamd_3uam7","181584","76776",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uame_3uamf","181585","76777",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uamp_3uams","181586_26152","76780",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uamt_3uamw","181586_26153","76790",2021-02-21,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uamx_3uamm","181586","76778",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uane_3uanf","181587","76779",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uao1_3uanr","181588_26154","76782",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uao2_3uanm","181588","76781",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uao3_3uao4","181589","76783",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uao9_3uaob","181589_26156","76785",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaos_3uaoc","181589_26155","76784",2020-07-05,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaot_3uaou","181590","76786",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uap0_3uapa","181592","76788",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uap2_3uap3","181591","76787",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaph_3uapi","181593","76789",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uapp_3uapq","181594","76791",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uapt_3uapw","181594_26157","76792",2021-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaq0_3uaqc","181595_26158","76794",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaq6_3uaq7","181595","76793",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaqd_3uaqg","181595_26159","76796",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaqw_3uaqx","181596","76795",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uar5_3uar6","181597","76797",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uarc_3uard","181598","76798",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uark_3uarl","181599","76799",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uars_3uart","181600","76800",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uas1_3uas2","181601","76801",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uas9_3uas0","181602","76802",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uasg_3uash","181603","76803",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uaso_3uasp","181604","76804",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uasw_3uasx","181605","76805",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uat5_3uat6","181606","76806",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uatc_3uatd","181607","76807",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3uatk_3uatl","181608","76808",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"_3ubaf_3ubag","181665","76809",2020-05-01,99,99,0,,99,1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772650__3ualn","181582","76773",2021-08-01,99,99,1,99,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772662__3uam2","181583_26151","76775",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772666__3uam4","181583","76774",2021-08-24,99,99,1,99,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772673__3uama","181584","76776",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772682__3uamj","181585","76777",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772698__3uan2","181586_26153","76790",2021-03-15,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772705__3uan7","181586","76778",2021-08-24,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772713__3uan5","181586_26152","76780",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772718__3uanj","181587","76779",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772728__3uant","181588","76781",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772735__3uany","181588_26154","76782",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772749__3uaor","181589_26156","76785",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772753__3uaok","181589_26155","76784",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772757__3uaom","181589","76783",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772769__3uaoy","181590","76786",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772777__3uap7","181591","76787",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772785__3uape","181592","76788",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772793__3uapm","181593","76789",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772805__3uapy","181594","76791",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772812__3uaq4","181594_26157","76792",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772825__3uaqk","181595_26159","76796",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772829__3uaqv","181595_26158","76794",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772833__3uaqq","181595","76793",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772844__3uar2","181596","76795",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772852__3uar0","181597","76797",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772860__3uarh","181598","76798",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772868__3uarp","181599","76799",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772876__3uarx","181600","76800",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772884__3uas6","181601","76801",2021-08-24,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772892__3uasd","181602","76802",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772900__3uasl","181603","76803",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772908__3uast","181604","76804",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772916__3uat2","181605","76805",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772924__3uat0","181606","76806",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
"4772932__3uath","181607","76807",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"3C58979F18524DA0BD3DF68C02D12A20"
