"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3uadc_3uadd","181555","76773",2020-05-01,99,99,1,99,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uadk_3uadl","181556","76774",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uado_3uadr","181556_26142","76775",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uae8_3uae1","181557","76776",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uae9_3uae0","181558","76777",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaej_3uaem","181559_26143","76780",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uaen_3uaeq","181559_26144","76790",2021-02-21,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uaer_3uaeg","181559","76778",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uaf9_3uaf0","181560","76779",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uafu_3uafl","181561_26145","76782",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uafv_3uafg","181561","76781",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uafw_3uafx","181562","76783",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uag3_3uag6","181562_26147","76785",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uagm_3uby9","181562_26146","76784",2020-07-05,99,99,0,,99,1,2021-08-24 00:00:00,2021-10-27 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uagn_3uago","181563","76786",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uagv_3uagw","181564","76787",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uah4_3uah5","181565","76788",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uahb_3uahc","181566","76789",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"_3uahj_3uahk","181567","76791",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uahn_3uahq","181567_26148","76792",2021-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uahz_3uai1","181568","76793",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uai4_3uai7","181568_26149","76794",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uai8_3uaia","181568_26150","76796",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaiq_3uair","181569","76795",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uaiy_3uaiz","181570","76797",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaj7_3uaj8","181571","76798",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaje_3uajf","181572","76799",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uajm_3uajn","181573","76800",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaju_3uajv","181574","76801",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uak3_3uak4","181575","76802",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaka_3uakb","181576","76803",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uaki_3uakj","181577","76804",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uakq_3uakr","181578","76805",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3uaky_3uakz","181579","76806",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3ual7_3ual8","181580","76807",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"_3uale_3ualf","181581","76808",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"_3ubbf_3ubbg","181671","76809",2020-05-01,99,99,0,,99,1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772356__3uadh","181555","76773",2021-08-01,99,99,1,99,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772368__3uadv","181556_26142","76775",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772372__3uadx","181556","76774",2021-08-24,99,99,1,99,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772379__3uae5","181557","76776",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772388__3uaed","181558","76777",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772404__3uaev","181559_26144","76790",2021-03-15,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772411__3uaf1","181559","76778",2021-08-24,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772419__3uaey","181559_26143","76780",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772424__3uafd","181560","76779",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772434__3uafn","181561","76781",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772441__3uafs","181561_26145","76782",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772455__3uagl","181562_26147","76785",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772459__3uby0","181562_26146","76784",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-10-27 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772463__3uagg","181562","76783",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772483__3uah1","181564","76787",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772491__3uah9","181565","76788",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772499__3uahg","181566","76789",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"585C7645F7C097704C1B8BC701165B75"
"4772511__3uahs","181567","76791",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772518__3uahx","181567_26148","76792",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772531__3uaie","181568_26150","76796",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772535__3uaip","181568_26149","76794",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772539__3uaik","181568","76793",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772550__3uaiv","181569","76795",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772558__3uaj4","181570","76797",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772566__3uajb","181571","76798",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772574__3uajj","181572","76799",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772582__3uajr","181573","76800",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772590__3uajz","181574","76801",2021-08-24,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772598__3uak8","181575","76802",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772606__3uakf","181576","76803",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772614__3uakn","181577","76804",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772622__3uakv","181578","76805",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
"4772630__3ual4","181579","76806",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4772638__3ualb","181580","76807",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"585C7645F7C097704C1B8BC701165B75"
"4773633__3uags","181563","76786",2021-08-01,99,99,0,,99,3,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"585C7645F7C097704C1B8BC701165B75"
