"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3ua0h_3ua0k","181540_26139","76792",2021-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua0x_3uaa1","181541_26140","76794",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua6i_3ua6l","181529_26133","76775",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua7d_3ua7g","181532_26134","76780",2020-05-01,99,99,99,,,1,2021-08-23 00:00:00,2021-08-23 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua7h_3ua7k","181532_26135","76790",2021-02-21,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua8o_3ua8f","181534_26136","76782",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua8w_3ua8z","181535_26138","76785",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"889",,"30143D484A7CE85734F0889D1726C6D3"
"_3ua9g_3ubyd","181535_26137","76784",2020-07-05,99,99,0,,99,1,2021-08-24 00:00:00,2021-10-27 00:00:00,"889",,"30143D484A7CE85734F0889D1726C6D3"
"_3uaa2_3uaa5","181541_26141","76796",2020-05-01,99,99,99,,,1,2021-08-24 00:00:00,2021-08-24 00:00:00,"887",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc0_3ua8r","181535","76783",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc4_3ua8a","181534","76781",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc5_3ua0e","181540","76791",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc6_3ua6f","181529","76774",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc7_3ua74","181531","76777",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc8_3ua84","181533","76779",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubc9_3uacd","181550","76804",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubca_3uad2","181553","76807",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcb_3uac6","181549","76803",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcc_3ua68","181528","76773",2020-05-01,99,99,1,99,,1,2021-08-23 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcd_3uab0","181545","76799",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubce_3ua6u","181530","76776",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcf_3uaal","181542","76795",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcg_3uad0","181554","76808",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubch_3ubba","181670","76809",2020-05-01,99,99,0,,99,1,2021-08-25 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubci_3ua9q","181537","76787",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcj_3uacl","181551","76805",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubck_3ua7a","181532","76778",2020-05-01,99,99,0,,99,1,2021-08-23 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcl_3uaat","181543","76797",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcm_3ua9y","181538","76788",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcn_3ua0u","181541","76793",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubco_3ua07","181539","76789",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcp_3uab2","181544","76798",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcq_3uabh","181546","76800",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcr_3uact","181552","76806",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcs_3ua9i","181536","76786",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubct_3uabx","181548","76802",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"_3ubcu_3uabp","181547","76801",2020-05-01,99,99,0,,99,1,2021-08-24 00:00:00,2021-08-25 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"4772062__3ua6b","181528","76773",2021-08-01,99,99,1,99,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
"4772074__3ua6p","181529_26133","76775",2021-08-01,99,99,99,,,3,2021-08-24 00:00:00,2021-08-24 00:00:00,"891",,"30143D484A7CE85734F0889D1726C6D3"
