Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID
249,1,-1,2,25,-1,,3,12345
74,1,-1,1,1533,-1,,1,12345
120,1,-1,0,16,4,,8,12345
1043,1,-1,1,1320,-1,,6,12345
222,1,-1,1,1025,-1,,3,12345
173,1,-1,0,1523,-1,,5,12345
91,1,-1,0,17,-1,,13,12345
1131,1,-1,1,14,4,,6,12345
128,1,-1,99,16,-1,,1,12345
62,1,-1,2,1315,-1,,5,12345
45,1,-1,2,17,4,,7,12345
2611,1,-1,0,1525,-1,,6,12345
214,1,-1,1,11,-1,,8,12345
40,1,-1,1,1319,-1,,8,12345
157,1,-1,0,19,-1,,8,12345
230,1,-1,2,33,-1,,2,12345
1648,1,-1,0,32,-1,,6,12345
222,1,-1,1,1025,-1,,5,12345
1357,1,-1,1,23,-1,,7,12345
828,1,-1,2,1536,-1,,6,12345
89,1,-1,0,1315,-1,,4,12345
102,1,-1,1,1318,-1,,5,12345
1272,1,-1,2,24,-1,,6,12345
328,1,-1,1,1023,-1,,9,12345
824,1,-1,2,1332,-1,,6,12345
93,1,-1,0,17,-1,,15,12345
143,1,-1,1,14,-1,,16,12345
16,1,-1,0,1322,-1,,8,12345
203,1,-1,1,28,-1,,3,12345
88,1,-1,1,1419,-1,,3,12345
113,1,-1,0,16,4,,4,12345
359,1,-1,0,16,6,,5,12345
955,1,-1,1,1020,-1,,7,12345
426,1,-1,0,0,2,,2,12345
197,1,-1,1,1334,-1,,9,12345
673,1,-1,1,34,-1,,2,12345
126,1,-1,1,1325,-1,,5,12345
47,1,-1,1,22,-1,,5,12345
1184,1,-1,2,1324,-1,,7,12345
853,1,-1,1,10,6,,7,12345
63,1,-1,2,1323,-1,,4,12345
2616,1,-1,1,0,8,,7,12345
494,1,-1,1,28,-1,,7,12345
351,1,-1,1,16,6,,2,12345
128,1,-1,99,16,1,,9,12345
1060,1,-1,0,27,-1,,6,12345
1207,1,-1,1,1426,-1,,7,12345
117,1,-1,0,1532,-1,,8,12345
392,1,-1,1,1025,-1,,2,12345
2320,1,-1,1,0,1,,6,12345
3370,1,-1,1,1422,-1,,6,12345
145,1,-1,1,1524,-1,,4,12345
1986,1,-1,0,1524,-1,,7,12345
119,1,-1,0,1532,-1,,4,12345
758,1,-1,0,1320,-1,,7,12345
75,1,-1,1,17,-1,,4,12345
1302,1,-1,0,1315,-1,,7,12345
89,1,-1,2,1323,-1,,8,12345
85,1,-1,2,0,-1,,16,12345
359,1,-1,1,16,6,,5,12345
1092,1,-1,1,1023,-1,,6,12345
272,1,-1,1,26,-1,,5,12345
47,1,-1,0,22,-1,,5,12345
1566,1,-1,99,16,-1,,7,12345
790,1,-1,1,1324,-1,,7,12345
230,1,-1,1,1015,-1,,9,12345
96,1,-1,1,1315,-1,,4,12345
113,1,-1,1,1020,-1,,3,12345
219,1,-1,1,32,-1,,1,12345
240,1,-1,1,1423,-1,,1,12345
514,1,-1,0,17,2,,9,12345
233,1,-1,1,31,-1,,9,12345
149,1,-1,1,1324,-1,,4,12345
121,1,-1,1,16,4,,4,12345
1116,1,-1,1,1015,-1,,7,12345
124,1,-1,2,16,-1,,8,12345
1029,1,-1,1,1020,-1,,6,12345
625,1,-1,2,32,-1,,7,12345
304,1,-1,1,26,-1,,3,12345
1766,1,-1,0,1520,-1,,7,12345
36,1,-1,2,1319,-1,,8,12345
230,1,-1,1,1018,-1,,9,12345
230,1,-1,1,1018,-1,,2,12345
136,1,-1,0,19,-1,,3,12345
1142,1,-1,1,1032,-1,,6,12345
1153,1,-1,1,16,2,,6,12345
116,1,-1,1,16,-1,,8,12345
259,1,-1,1,15,1,,1,12345
3210,1,-1,0,15,8,,7,12345
104,1,-1,1,1334,-1,,4,12345
948,1,-1,1,0,8,,9,12345
91,1,-1,1,17,-1,,13,12345
73,1,-1,0,17,-1,,4,12345
162,1,-1,0,19,-1,,9,12345
1438,1,-1,99,25,-1,,6,12345
768,1,-1,0,13,4,,7,12345
1387,1,-1,1,1315,-1,,7,12345
28,1,-1,0,1524,-1,,8,12345
137,1,-1,1,1424,-1,,9,12345
118,1,-1,1,1125,-1,,4,12345
866,1,-1,1,1334,-1,,7,12345
807,1,-1,0,0,-1,,10,12345
76,1,-1,1,17,4,,7,12345
203,1,-1,0,19,-1,,1,12345
297,1,-1,1,1127,-1,,2,12345
61,1,-1,2,1519,-1,,5,12345
57,1,-1,0,13,6,,8,12345
1333,1,-1,0,0,-1,,7,12345
521,1,-1,2,23,-1,,7,12345
91,1,-1,0,23,-1,,8,12345
274,1,-1,2,13,2,,2,12345
808,1,-1,2,13,-1,,7,12345
216,1,-1,0,1532,-1,,9,12345
458,1,-1,1,13,6,,9,12345
1986,1,-1,1,1524,-1,,7,12345
241,1,-1,0,18,-1,,3,12345
1011,1,-1,1,1126,-1,,7,12345
135,1,-1,1,1532,-1,,4,12345
1707,1,-1,0,17,2,,6,12345
596,1,-1,0,28,-1,,7,12345
101,1,-1,2,1333,-1,,8,12345
62,1,-1,2,18,-1,,4,12345
