RowTotal,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHType,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRace,HoHEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID
1,0,1,2,3,-1,1,0,1,1,0,5,0,25,0,0,1,12345
1,0,1,2,3,-1,1,0,1,1,0,5,0,55,0,0,1,12345
1,0,1,2,3,-1,1,0,2,0,0,3,0,55,0,0,1,12345
1,0,1,2,8,-1,1,0,1,1,0,3,0,55,0,0,1,12345
1,0,1,2,12,-1,1,0,2,0,0,5,0,55,0,0,1,12345
1,0,1,2,12,-1,1,0,2,0,0,5,1,25,0,0,1,12345
1,0,1,2,12,-1,99,0,2,0,0,3,0,-1,0,0,1,12345
1,0,1,2,13,-1,1,0,1,1,0,5,0,55,0,0,1,12345
1,0,1,2,99,-1,1,0,0,0,0,3,0,55,0,0,1,12345
1,0,1,2,99,-1,1,0,0,0,0,5,0,25,0,0,1,12345
1,0,1,2,99,-1,1,0,0,0,0,15,0,25,0,0,1,12345
1,0,1,2,99,-1,1,0,0,1,0,99,1,25,0,0,1,12345
1,0,1,2,99,-1,1,0,2,0,0,5,0,25,0,0,1,12345
1,0,1,2,99,-1,1,0,2,0,0,99,1,18,0,0,1,12345
1,0,1,2,99,-1,1,1,0,0,0,5,1,55,0,0,1,12345
1,0,1,3,3,-1,1,0,0,0,0,5,0,24,0,0,2,12345
1,0,1,3,3,-1,1,0,2,0,0,3,0,25,0,0,2,12345
1,0,1,3,3,-1,1,0,2,0,0,5,1,24,0,0,2,12345
1,0,1,3,3,-1,2,0,0,0,0,5,0,25,1,0,2,12345
3,0,1,3,3,-1,2,0,2,0,0,5,1,25,1,0,2,12345
1,0,1,3,3,-1,2,1,2,0,0,5,1,25,1,0,2,12345
1,0,1,3,4,-1,1,0,0,0,0,3,0,25,0,0,2,12345
1,0,1,3,4,-1,1,1,0,0,0,5,0,25,0,0,2,12345
1,0,1,3,5,-1,1,0,0,0,0,5,1,18,0,0,2,12345
1,0,1,3,10,-1,2,0,0,0,0,5,0,25,1,0,2,12345
1,0,1,3,11,-1,1,0,0,0,0,5,0,24,0,0,2,12345
1,0,1,3,11,-1,1,0,2,0,0,3,1,24,0,0,2,12345
1,0,1,3,11,-1,1,0,2,0,0,5,0,18,0,0,2,12345
1,0,1,3,99,-1,1,0,0,0,0,3,0,18,0,0,2,12345
1,0,1,3,99,-1,1,0,0,0,0,5,0,25,0,0,2,12345
1,0,1,4,3,-1,1,1,2,0,0,3,0,18,0,0,1,12345
1,0,1,4,3,-1,1,1,2,0,0,3,1,18,0,0,1,12345
1,0,1,4,4,-1,1,1,2,0,0,3,0,25,0,0,1,12345
1,0,1,4,4,-1,1,1,3,1,0,3,0,24,0,0,1,12345
1,0,1,4,5,-1,1,1,1,1,0,5,1,55,0,0,1,12345
1,0,1,4,10,-1,1,1,2,0,0,3,0,18,0,0,1,12345
1,0,1,4,13,-1,1,1,2,0,0,3,0,18,0,0,1,12345
1,0,1,4,99,-1,1,1,2,0,0,3,1,25,0,0,1,12345
1,0,1,4,99,-1,1,1,2,0,0,5,0,18,0,0,1,12345
2,0,1,5,2,-1,1,1,1,1,0,5,0,55,0,0,4,12345
1,0,1,5,3,-1,1,0,0,0,0,3,1,25,0,0,4,12345
1,0,1,5,3,-1,1,1,0,0,0,3,0,55,0,0,4,12345
4,0,1,5,3,-1,1,1,0,0,0,5,0,25,0,0,4,12345
1,0,1,5,3,-1,1,1,0,0,0,5,0,55,0,0,-1,12345
5,0,1,5,3,-1,1,1,0,0,0,5,0,55,0,0,4,12345
1,0,1,5,3,-1,1,1,0,0,0,5,1,25,1,0,4,12345
1,0,1,5,3,-1,1,1,0,1,0,3,0,55,0,0,4,12345
1,0,1,5,3,-1,1,1,0,1,0,5,0,25,0,0,4,12345
3,0,1,5,3,-1,1,1,0,1,0,5,0,55,0,0,4,12345
1,0,1,5,3,-1,1,1,1,1,0,5,0,25,0,0,4,12345
1,0,1,5,3,-1,1,1,1,1,0,5,0,25,1,0,4,12345
1,0,1,5,3,-1,1,1,1,1,0,5,0,55,0,0,4,12345
1,0,1,5,3,-1,1,1,2,0,0,1,0,55,0,0,4,12345
1,0,1,5,3,-1,1,1,2,0,0,3,0,25,0,0,4,12345
2,0,1,5,3,-1,1,1,2,0,0,5,0,25,0,0,4,12345
