FunderID,ProjectID,Funder,OtherFunder,GrantID,StartDate,EndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1028","1451",41,,,"2018-10-01",,"2018-09-11 13:10:57","2018-11-01 16:27:06",,,310050732
"1029","1452",37,,,"2018-10-01",,"2018-09-11 14:01:16","2018-09-11 14:03:04",,,310050732
"1093","1488",20,,,"2019-01-01",,"2019-04-26 11:24:31","2019-04-26 11:24:31",,,310050732
"1138","1510",20,,,"2010-10-01",,"2019-10-22 14:32:43","2019-10-22 14:32:43",,,310050732
"1186","607",34,,,"2020-01-01",,"2019-11-14 12:28:47","2019-11-14 12:28:47",,,310050732
"1215","549",8,,,"2019-01-01",,"2020-01-23 11:30:44","2020-01-23 11:30:44",,,310050732
"1328","1568",47,,,"2020-03-01",,"2020-07-24 15:14:44","2020-10-22 19:12:37",,,310050732
"1437","1606",47,,,"2020-03-01",,"2020-09-28 09:54:25","2020-10-22 17:50:50",,,310050732
"1448","1610",47,,,"2020-03-01",,"2020-10-19 15:51:54","2020-10-22 19:21:20",,,310050732
"1453","40",47,,,"2020-03-01",,"2020-10-22 17:00:05","2020-10-22 17:00:05",,,310050732
"1455","1556",47,,,"2020-03-01",,"2020-10-22 17:12:38","2020-10-22 17:12:38",,,310050732
"1456","1543",47,,,"2020-03-01",,"2020-10-22 17:14:16","2020-10-22 17:14:16",,,310050732
"1461","1187",47,,,"2020-03-01",,"2020-10-22 17:27:01","2020-10-22 17:27:01",,,310050732
"1462","1544",47,,,"2020-03-01",,"2020-10-22 17:28:29","2020-10-22 17:28:29",,,310050732
"1463","760",47,,,"2020-03-01",,"2020-10-22 17:39:38","2020-10-22 17:39:38",,,310050732
"1465","1545",47,,,"2020-03-01",,"2020-10-22 17:45:46","2020-10-22 17:45:46",,,310050732
"1468","1585",47,,,"2020-03-01",,"2020-10-22 17:48:30","2020-10-22 17:48:30",,,310050732
"1470","1546",47,,,"2020-03-01",,"2020-10-22 18:34:24","2020-10-22 18:34:24",,,310050732
"1471","388",47,,,"2020-03-01",,"2020-10-22 18:35:21","2020-10-22 18:35:21",,,310050732
"1472","389",5,,,"2020-03-01",,"2020-10-22 18:37:58","2020-10-22 18:37:58",,,310050732
"1473","234",47,,,"2020-03-01",,"2020-10-22 18:38:39","2020-10-22 18:38:39",,,310050732
"1474","1396",47,,,"2020-03-01",,"2020-10-22 18:40:17","2020-10-22 18:40:17",,,310050732
"1477","563",47,,,"2020-03-01",,"2020-10-22 18:45:57","2020-10-22 18:45:57",,,310050732
"1487","93",47,,,"2020-03-01",,"2020-10-22 19:00:29","2020-10-22 19:00:29",,,310050732
"1489","1601",47,,,"2020-03-01",,"2020-10-22 19:01:47","2020-10-22 19:01:47",,,310050732
"1490","97",47,,,"2020-03-01",,"2020-10-22 19:03:46","2020-10-22 19:03:46",,,310050732
"1491","414",47,,,"2020-03-01",,"2020-10-22 19:10:27","2020-10-22 19:10:27",,,310050732
"1493","1563",47,,,"2020-03-01",,"2020-10-22 19:11:27","2020-10-22 19:11:27",,,310050732
"1494","95",47,,,"2020-03-01",,"2020-10-22 19:13:07","2020-10-22 19:13:07",,,310050732
"1496","1550",47,,,"2020-03-01",,"2020-10-22 19:14:23","2020-10-22 19:14:23",,,310050732
"1497","1559",47,,,"2020-03-01",,"2020-10-22 19:19:47","2020-10-22 19:19:47",,,310050732
"1526","1487",20,,,"2019-01-01",,"2020-10-27 08:39:45","2020-10-27 08:39:45",,,310050732
"1530","1490",34,,,"2019-01-21",,"2020-10-27 08:44:36","2020-10-27 08:44:36",,,310050732
"1531","1537",34,,,"2020-06-09",,"2020-10-27 08:45:21","2020-10-27 08:45:21",,,310050732
"1536","55",34,,,"2016-05-01",,"2020-10-27 09:03:56","2020-10-27 09:03:56",,,310050732
"1539","109",34,,,"2001-08-17",,"2020-10-27 09:12:37","2020-10-27 09:12:37",,,310050732
"1551","389",5,,,"2020-01-01",,"2020-10-27 09:25:12","2020-10-27 09:25:12",,,310050732
"1553","414",8,,,"2020-01-01",,"2020-10-27 09:26:18","2020-10-27 09:26:18",,,310050732
"1555","475",34,,,"2003-08-03",,"2020-10-27 09:27:58","2020-10-27 09:27:58",,,310050732
"1556","488",34,,,"2003-08-03",,"2020-10-27 09:28:53","2020-10-27 09:28:53",,,310050732
"1557","565",34,,,"2005-03-01",,"2020-10-27 09:30:03","2020-10-27 09:30:03",,,310050732
"1560","606",34,,,"2005-06-30",,"2020-10-27 09:33:13","2020-10-27 09:33:13",,,310050732
"1562","608",34,,,"2005-06-30",,"2020-10-27 09:35:55","2020-10-27 09:35:55",,,310050732
"1566","724",5,,,"2007-07-23",,"2020-10-27 09:38:25","2020-10-27 09:38:25",,,310050732
"1571","906",34,,,"2010-11-10",,"2020-10-27 09:45:34","2020-10-27 09:45:34",,,310050732
"1578","980",34,,,"2012-02-24",,"2020-10-27 09:53:07","2020-10-27 09:53:07",,,310050732
"1588","1081",34,,,"2013-03-14",,"2020-10-27 10:50:10","2020-10-27 10:50:10",,,310050732
"1594","1193",34,,,"2015-01-07",,"2020-10-27 10:55:03","2020-10-27 10:55:03",,,310050732
"1596","1212",34,,,"2015-03-18",,"2020-10-27 11:35:46","2020-10-27 11:35:46",,,310050732
"1597","1240",34,,,"2015-11-01",,"2020-10-27 11:36:21","2020-10-27 11:36:21",,,310050732
"1624","1305",34,,,"2016-04-22",,"2020-10-27 11:56:09","2020-10-27 11:56:09",,,310050732
"1633","1385",34,,,"2017-07-17",,"2020-10-27 12:02:33","2020-10-27 12:02:33",,,310050732
"1639","1435",34,,,"2018-04-17",,"2020-10-27 12:05:40","2020-10-27 12:05:40",,,310050732
"1640","1448",34,,,"2018-10-01",,"2020-10-27 12:06:09","2020-10-27 12:06:09",,,310050732
"1641","1449",34,,,"2018-10-01",,"2020-10-27 12:06:31","2020-10-27 12:06:31",,,310050732
"1642","1459",34,,,"2018-11-29",,"2020-10-27 12:06:57","2020-10-27 12:06:57",,,310050732
"1644","1482",34,,,"2019-01-22",,"2020-10-27 12:19:58","2020-10-27 12:19:58",,,310050732
"1661","1558",47,,,"2020-03-01",,"2020-10-27 13:06:05","2020-10-27 13:06:05",,,310050732
"1662","1575",47,,,"2020-03-01",,"2020-10-27 13:07:01","2020-10-27 13:07:01",,,310050732
"1665","1611",47,,,"2020-03-01",,"2020-10-27 13:08:43","2020-10-27 13:08:43",,,310050732
"1671","1614",42,,,"2020-10-01",,"2020-10-28 08:40:50","2020-10-28 08:40:50",,,310050732
"1688","1362",47,,,"2020-03-01",,"2020-12-23 17:41:03","2020-12-23 17:41:03",,,310050732
"1689","1362",8,,,"2017-03-22",,"2020-12-23 17:41:24","2020-12-23 17:41:24",,,310050732
"1720","1638",20,,,"2021-04-14",,"2021-04-14 15:18:21","2021-11-19 15:58:46",,,310050732
"1786","1668",34,,,"2021-05-07",,"2021-05-07 15:43:52","2021-11-19 17:14:26",,,310050732
"1793","1672",34,,,"2001-08-17",,"2021-06-02 10:36:15","2021-06-02 10:36:15",,,310050732
"1822","1680",2,,,"2021-08-01",,"2021-08-10 15:59:13","2021-11-19 17:14:47",,,310050732
"1834","1683",47,,,"2021-08-01",,"2021-09-01 10:37:23","2021-12-13 17:54:15",,,310050732
"1847","1684",46,,,"2021-09-01",,"2021-09-23 11:08:40","2021-11-19 17:15:10",,,310050732
"1848","1685",46,,,"2021-09-01",,"2021-09-23 11:10:41","2021-11-19 17:15:29",,,310050732
"1849","1686",46,,,"2021-09-01",,"2021-09-23 11:12:18","2021-11-19 17:15:50",,,310050732
"1905","1694",46,,,"2021-10-15",,"2021-10-07 14:59:59","2022-09-26 12:46:36",,,310050732
"1918","1494",34,,,"2019-06-13",,"2021-11-19 15:37:43","2021-11-19 15:37:43",,,310050732
"1920","1629",34,,,"2021-02-05",,"2021-11-19 15:58:16","2021-11-19 15:58:16",,,310050732
"1933","1690",46,,,"2021-09-01",,"2021-11-19 17:16:47","2021-11-19 17:16:47",,,310050732
"1971","1343",3,,,"2022-01-01","2022-12-31","2021-12-03 17:04:33","2021-12-09 17:42:21",,,310050732
"1972","1349",3,,,"2022-01-01","2022-12-31","2021-12-07 16:02:48","2021-12-09 16:17:21",,,310050732
"1973","1416",3,,,"2022-01-01","2022-12-31","2021-12-08 10:36:06","2021-12-09 17:24:32",,,310050732
"1974","1427",3,,,"2022-01-01","2022-12-31","2021-12-08 10:43:35","2021-12-09 16:59:30",,,310050732
"1975","1428",3,,,"2022-01-01","2022-12-31","2021-12-08 10:45:41","2021-12-09 17:09:27",,,310050732
"1978","1492",3,,,"2022-01-01","2022-12-31","2021-12-08 10:50:49","2021-12-09 17:37:23",,,310050732
"1980","1484",3,,,"2022-01-01","2022-12-31","2021-12-08 11:03:39","2021-12-08 11:03:39",,,310050732
"1981","1476",2,,,"2022-01-01","2022-12-31","2021-12-08 11:08:56","2021-12-08 11:08:56",,,310050732
"1983","1517",3,,,"2022-01-01","2022-12-31","2021-12-08 12:40:43","2021-12-08 12:40:43",,,310050732
"1990","1625",2,,,"2022-07-01","2023-06-30","2021-12-08 14:44:00","2021-12-08 14:50:36",,,310050732
"2082","1706",2,,,"2022-02-01",,"2022-02-24 14:10:36","2022-02-24 14:10:36",,,310050732
"2104","1723",34,,,"2021-03-01",,"2022-05-06 09:23:14","2022-05-06 09:23:14",,,310050732
"2109","1724",34,,,"2021-03-01",,"2022-05-06 09:47:27","2022-05-06 09:47:27",,,310050732
"2122","1728",46,,,"2020-03-01",,"2022-05-31 15:03:03","2022-09-26 12:49:46",,,310050732
"2126","1729",46,,,"2020-03-01",,"2022-05-31 16:00:46","2022-09-26 12:50:35",,,310050732
"2132","1731",46,,,"2022-06-01",,"2022-06-01 09:42:56","2022-06-01 09:48:46",,,310050732
"2134","1732",46,,,"2022-06-01",,"2022-06-01 09:52:20","2022-09-26 12:52:04",,,310050732
"2148","1735",46,,,"2022-06-01",,"2022-06-01 10:47:34","2022-09-26 12:58:43",,,310050732
"2168","1740",46,,,"2022-06-01",,"2022-06-01 11:34:01","2022-09-26 13:02:07",,,310050732
"2185","1745",34,,,"2022-06-01",,"2022-06-27 13:38:08","2022-06-27 13:38:08",,,310050732
"2186","450",24,,,"2021-05-01",,"2022-06-29 13:39:20","2022-06-29 13:39:20",,,310050732
"2187","1448",46,,,"2022-01-26",,"2022-06-29 13:49:52","2022-06-29 13:49:52",,,310050732
"2188","1453",41,,,"2022-01-26",,"2022-06-29 14:17:50","2022-06-29 14:17:50",,,310050732
"2206","342",34,,,"2022-01-01","2023-12-31","2022-09-06 16:11:09","2022-09-06 16:11:09",,,310050732
"2210","1520",34,,,"2020-03-23",,"2022-09-26 12:24:13","2022-09-26 12:24:13",,,310050732
"251","671",34,,,"2009-09-30",,"2015-06-18 10:47:07","2018-11-01 15:49:23",,,310050732
"259","563",8,,,"2018-01-01",,"2015-06-18 10:50:58","2018-02-01 09:50:08",,,310050732
"26","1176",33,,,"2014-09-29",,"2015-01-29 08:59:21","2018-11-01 16:09:59",,,310050732
"315","927",37,,,"2010-11-15",,"2015-06-18 11:47:44","2018-11-01 15:56:16",,,310050732
"329","993",20,,,"2012-01-01",,"2015-06-18 11:54:48","2018-11-08 11:35:17",,,310050732
"62","952",41,,,"2009-09-30",,"2015-02-03 08:12:36","2018-11-01 15:59:34",,,310050732
"63","1182",33,,,"2014-09-29",,"2015-02-03 08:16:43","2018-11-01 16:10:57",,,310050732
"725","1347",8,,,"2015-01-01",,"2017-01-17 07:41:53","2020-01-23 11:36:22",,,310050732
"73","1178",33,,,"2014-09-29",,"2015-02-10 09:08:11","2018-11-01 16:10:33",,,310050732
"745","1351",33,,,"2015-10-01",,"2017-02-02 10:57:15","2019-03-13 16:02:24",,,310050732
"788","1377",10,,,"2018-01-01",,"2017-05-08 14:11:00","2020-01-23 11:27:53",,,310050732
"842","1395",38,,,"2017-10-01",,"2017-10-06 11:34:33","2018-11-01 16:24:15",,,310050732
"856","717",8,,,"2018-01-01",,"2017-10-27 13:49:00","2017-10-27 13:49:00",,,310050732
"858","1396",8,,,"2018-01-01",,"2017-10-31 10:20:24","2019-11-14 12:23:22",,,310050732
"876","862",8,,,"2015-01-01",,"2018-01-03 09:31:28","2018-01-08 09:09:00",,,310050732
"877","863",8,,,"2015-01-01",,"2018-01-03 09:31:51","2018-01-10 10:05:52",,,310050732
"89","93",8,,,"2015-01-01",,"2015-02-25 14:27:46","2020-01-23 11:30:14",,,310050732
"915","486",34,,,"2018-01-01",,"2018-01-08 10:10:19","2018-01-08 10:10:19",,,310050732
"917","712",34,,,"2018-01-01",,"2018-01-08 10:22:42","2018-01-08 10:22:42",,,310050732
