HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1","40",1,2001-06-20,,"2001-06-20 16:46:41","2021-05-18 11:23:09",,,310050732
"10","340",1,2002-02-24,,"2002-02-24 15:43:20","2022-03-24 09:12:05",,,310050732
"100","1394",1,2017-10-01,2020-09-30,"2017-10-03 07:58:41","2022-01-25 11:52:11",,,310050732
"101","1395",1,2017-10-01,,"2017-10-06 11:34:33","2019-10-01 09:18:05",,,310050732
"102","1396",1,2017-10-01,,"2017-10-12 13:16:46","2019-03-19 11:56:20",,,310050732
"103","1397",1,2017-10-01,,"2017-10-12 13:20:39","2021-11-30 17:44:12",,,310050732
"104","1405",1,2018-01-01,,"2017-10-26 10:34:29","2020-01-15 10:38:32",,,310050732
"106","1408",1,2018-01-01,,"2017-10-26 12:48:07","2021-05-04 09:59:33",,,310050732
"108","1416",1,2017-12-26,,"2017-12-26 15:25:20","2021-12-09 17:23:29",,,310050732
"109","1418",1,2018-01-01,,"2018-01-04 15:36:29","2020-06-23 11:40:31",,,310050732
"11","342",1,2002-02-24,,"2002-02-24 15:49:23","2022-03-24 09:08:51",,,310050732
"111","1421",1,2018-01-19,2020-01-01,"2018-01-19 12:56:24","2022-01-25 11:46:32",,,310050732
"112","1427",1,2018-01-01,,"2018-02-13 11:14:00","2018-10-12 10:11:08",,,310050732
"113","1428",1,2018-01-01,,"2018-02-13 11:16:10","2021-12-09 17:08:01",,,310050732
"114","1435",1,2018-04-17,,"2018-04-17 14:00:16","2021-05-05 16:48:48",,,310050732
"115","1448",1,2018-10-01,,"2018-08-10 08:25:51","2021-05-05 16:29:25",,,310050732
"116","1449",1,2018-10-01,,"2018-08-10 08:30:14","2021-05-05 15:13:58",,,310050732
"117","1451",0,2018-10-01,2020-09-30,"2018-09-11 13:10:57","2021-05-03 13:08:30",,,310050732
"118","1452",1,2018-10-01,,"2018-09-11 14:01:16","2019-10-01 09:19:28",,,310050732
"119","1453",1,2018-10-01,,"2018-09-11 14:07:45","2019-10-01 09:19:44",,,310050732
"12","388",1,2002-05-02,,"2002-05-02 11:31:47","2022-03-24 09:15:09",,,310050732
"120","1459",1,2018-11-29,,"2018-11-29 13:53:52","2022-01-25 13:29:20",,,310050732
"121","1476",1,2019-01-01,,"2018-12-11 08:41:54","2021-12-09 18:13:17",,,310050732
"122","1482",1,2019-03-01,,"2019-01-22 11:57:13","2020-12-09 11:36:01",,,310050732
"123","1484",1,2019-01-01,,"2019-02-19 09:24:22","2021-12-09 17:51:40",,,310050732
"124","1487",1,2019-01-01,,"2019-03-25 15:16:16","2022-01-21 08:19:51",,,310050732
"125","1488",1,2019-01-01,,"2019-03-25 15:31:48","2022-01-21 08:29:12",,,310050732
"126","1490",1,2019-01-21,,"2019-03-27 09:19:27","2022-02-17 14:44:37",,,310050732
"127","1492",1,2019-06-10,,"2019-06-10 07:32:23","2021-12-09 17:39:39",,,310050732
"128","1494",1,2019-06-13,,"2019-06-13 11:13:12","2021-05-05 23:35:43",,,310050732
"129","1495",1,2019-09-01,,"2019-07-01 10:38:34","2019-08-22 14:49:53",,,310050732
"13","389",1,2002-05-02,,"2002-05-02 15:24:10","2018-10-12 11:16:01",,,310050732
"130","1496",1,2019-01-01,,"2019-07-08 14:30:48","2020-01-23 11:33:22",,,310050732
"134","1510",1,2015-10-01,,"2019-10-22 14:32:43","2022-01-21 08:23:45",,,310050732
"135","1516",1,2020-01-01,,"2020-01-15 10:36:00","2022-02-14 12:20:40",,,310050732
"136","1517",1,2020-01-01,,"2020-01-15 10:37:58","2021-12-09 18:26:08",,,310050732
"137","1518",1,2020-01-01,,"2020-01-15 16:25:55","2021-04-27 07:48:57",,,310050732
"138","1520",1,2020-03-23,,"2020-03-23 11:17:32","2020-10-26 14:06:45",,,310050732
"139","1537",1,2020-06-09,,"2020-06-09 16:43:28","2021-05-05 16:50:04",,,310050732
"14","414",1,2003-02-20,,"2003-02-20 15:05:42","2022-02-03 12:38:22",,,310050732
"141","1543",1,2020-03-01,,"2020-07-14 17:09:42","2020-10-19 09:51:36",,,310050732
"142","1544",1,2020-03-01,,"2020-07-14 17:21:33","2021-05-04 09:59:23",,,310050732
"143","1545",1,2020-03-01,,"2020-07-14 17:27:14","2020-10-19 09:53:32",,,310050732
"144","1546",1,2020-03-01,,"2020-07-14 17:30:19","2020-10-19 09:56:15",,,310050732
"147","1550",1,2020-03-01,,"2020-07-15 12:27:42","2020-10-22 19:16:01",,,310050732
"15","450",1,2003-08-03,,"2003-08-03 10:05:29","2019-01-09 12:31:49",,,310050732
"150","1556",1,2020-03-01,,"2020-07-16 13:23:03","2020-10-19 09:50:43",,,310050732
"152","1558",1,2020-03-01,,"2020-07-20 10:49:57","2021-04-27 07:40:47",,,310050732
"153","1559",1,2020-03-01,,"2020-07-20 10:52:22","2020-10-22 19:19:50",,,310050732
"154","1563",1,2020-03-01,,"2020-07-22 12:32:52","2020-10-22 19:11:32",,,310050732
"156","1566",1,2020-03-01,,"2020-07-24 10:13:31","2020-10-19 09:58:05",,,310050732
"158","1568",1,2020-03-01,,"2020-07-24 15:14:43","2020-10-22 19:12:45",,,310050732
"16","475",1,2003-08-03,,"2003-08-03 14:35:30","2019-01-22 12:01:50",,,310050732
"161","1575",1,2020-03-01,,"2020-07-27 10:29:12","2020-10-19 09:50:06",,,310050732
"164","1585",1,2020-03-01,,"2020-07-28 15:53:50","2020-10-19 09:55:01",,,310050732
"167","1601",1,2020-03-01,,"2020-09-08 16:24:07","2020-10-22 19:01:51",,,310050732
"169","1606",1,2020-03-01,,"2020-09-28 09:54:25","2020-10-19 09:55:44",,,310050732
"17","486",1,2003-08-03,,"2003-08-03 16:44:07","2018-10-12 11:19:09",,,310050732
"171","1610",1,2020-03-01,,"2020-10-19 15:51:54","2020-10-21 11:22:07",,,310050732
"172","1611",1,2020-03-01,,"2020-10-21 11:17:47","2020-10-21 11:18:32",,,310050732
"173","1614",1,2020-10-01,,"2020-10-28 08:36:39","2021-12-13 17:55:53",,,310050732
"176","1625",1,2021-01-20,,"2021-01-20 15:35:34","2021-12-09 18:16:52",,,310050732
"178","1629",1,2021-02-05,,"2021-02-05 14:59:53","2021-08-10 16:21:21",,,310050732
"18","488",1,2003-08-03,,"2003-08-03 17:14:40","2018-10-12 11:19:53",,,310050732
"180","1638",1,2021-04-14,,"2021-04-14 15:07:54","2022-01-21 08:21:21",,,310050732
"182","1668",1,2021-05-07,,"2021-05-07 15:43:51","2022-08-09 16:20:06",,,310050732
"183","1672",1,2021-06-02,,"2021-06-02 10:36:13","2021-06-02 10:39:59",,,310050732
"184","1680",1,2021-08-01,,"2021-08-10 15:46:07","2022-06-21 10:17:23",,,310050732
"186","1683",1,2021-08-01,,"2021-09-01 10:37:23","2021-12-13 17:54:53",,,310050732
"187","1684",1,2021-09-01,,"2021-09-23 10:59:55","2021-09-23 11:16:02",,,310050732
"188","1685",1,2021-09-01,,"2021-09-23 11:00:26","2021-09-23 11:16:18",,,310050732
"189","1686",1,2021-09-01,,"2021-09-23 11:01:05","2021-09-23 11:16:26",,,310050732
"19","549",1,2014-11-01,,"2004-11-11 15:19:46","2018-10-12 11:29:48",,,310050732
"193","1690",1,2021-11-01,,"2021-09-23 11:33:47","2022-01-28 11:19:27",,,310050732
"194","1694",1,2021-10-15,,"2021-10-07 14:56:44","2022-09-26 12:46:41",,,310050732
"195","1706",1,2022-02-01,,"2022-02-24 14:08:40","2022-02-24 14:11:40",,,310050732
"196","1723",1,2022-05-06,,"2022-05-06 09:23:12","2022-05-06 10:00:10",,,310050732
"197","1724",1,2022-05-06,,"2022-05-06 09:47:26","2022-05-06 10:01:04",,,310050732
"198","1728",1,2022-05-31,,"2022-05-31 15:03:03","2022-09-26 12:50:04",,,310050732
"199","1729",1,2022-05-31,,"2022-05-31 16:00:46","2022-09-26 12:50:39",,,310050732
"2","55",1,2001-06-22,,"2001-06-22 16:17:27","2019-01-09 12:24:20",,,310050732
"20","563",1,2005-03-01,,"2005-03-01 15:23:51","2018-10-12 11:11:54",,,310050732
"200","1731",1,2022-06-01,,"2022-06-01 09:42:55","2022-06-01 09:56:12",,,310050732
"201","1732",1,2022-06-01,,"2022-06-01 09:52:20","2022-09-26 12:52:22",,,310050732
"202","1735",1,2022-06-01,,"2022-06-01 10:47:32","2022-09-26 12:58:47",,,310050732
"204","1740",1,2022-06-01,,"2022-06-01 11:34:01","2022-09-26 13:02:09",,,310050732
"206","1745",1,2022-06-01,,"2022-06-27 13:36:05","2022-06-27 13:39:00",,,310050732
"21","565",1,2005-03-01,,"2005-03-01 15:25:44","2018-10-12 08:55:01",,,310050732
"22","606",1,2005-06-30,,"2005-06-30 14:52:18","2018-10-12 11:22:18",,,310050732
"23","607",1,2005-06-30,,"2005-06-30 14:53:33","2018-10-12 11:21:53",,,310050732
"24","608",1,2005-06-30,,"2005-06-30 14:54:54","2018-10-12 11:23:13",,,310050732
"25","609",1,2005-06-30,,"2005-06-30 14:56:38","2020-11-18 14:54:02",,,310050732
"26","632",1,2005-10-11,,"2005-10-11 10:11:17","2021-12-07 12:56:47",,,310050732
"27","671",1,2006-03-24,,"2006-03-24 12:50:21","2018-10-12 11:21:16",,,310050732
"28","712",1,2007-04-19,,"2007-04-19 15:14:51","2018-10-12 11:19:32",,,310050732
