InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"1587","606","XX-501",1,,0,6,0,0,0,0,0,0,6,,"2017-01-25",,"2017-03-16 11:08:06","2020-11-19 12:30:23",,,310050732
"1589","608","XX-501",1,,0,4,0,0,0,0,0,0,4,,"2017-01-25",,"2017-03-16 11:09:50","2020-10-20 14:09:47",,,310050732
"1623","980","XX-501",1,,0,10,0,0,0,0,0,0,10,,"2017-01-25",,"2017-03-16 11:37:17","2020-06-30 16:20:43",,,310050732
"1997","109","XX-501",3,,15,36,0,0,0,0,0,0,36,,"2018-07-01",,"2018-08-08 11:40:23","2020-10-20 13:54:44",,,310050732
"2021","1452","XX-501",1,,0,5,0,0,5,0,0,0,0,,"2018-10-01",,"2018-09-11 14:03:29","2020-07-02 12:05:02",,,310050732
"2726","55","XX-501",1,,0,4,0,0,0,0,0,0,4,,"2020-01-28",,"2020-06-30 09:38:54","2021-01-10 13:42:21",,,310050732
"2727","55","XX-501",3,,4,16,0,0,0,0,0,0,16,,"2020-01-28",,"2020-06-30 09:39:25","2021-01-10 13:42:30",,,310050732
"3471","475","XX-501",3,1,2,10,0,0,0,0,0,0,10,1,"2021-01-27",,"2021-05-13 14:25:31","2021-05-13 14:25:31",,,310050732
"3495","773","XX-501",1,1,0,81,0,0,0,0,0,0,81,2,"2021-01-27",,"2021-05-14 11:47:06","2022-01-25 13:27:47",,,310050732
"3498","486","XX-501",3,1,1,1,0,0,0,0,0,0,1,1,"2021-01-27",,"2021-05-14 15:58:29","2021-05-14 15:58:29",,,310050732
"3499","486","XX-501",1,3,0,6,0,0,0,0,0,0,6,1,"2021-01-26",,"2021-05-14 16:06:40","2022-01-26 16:20:40",,,310050732
"3500","712","XX-501",1,3,0,3,0,0,0,0,0,0,3,1,"2021-01-26",,"2021-05-14 16:11:17","2022-01-26 16:10:02",,,310050732
"3501","671","XX-501",3,1,8,20,0,0,0,0,0,0,20,1,"2021-01-27",,"2021-05-14 16:15:51","2021-05-14 16:15:51",,,310050732
"3502","671","XX-501",1,1,0,10,0,0,0,0,0,0,10,1,"2021-01-27",,"2021-05-14 16:16:34","2022-01-25 17:04:41",,,310050732
"3506","607","XX-501",1,1,0,1,0,0,0,0,1,0,0,1,"2021-01-27",,"2021-05-17 12:10:51","2021-05-17 12:10:51",,,310050732
"3507","609","XX-501",1,1,0,1,0,0,0,0,1,0,0,1,"2021-01-27",,"2021-05-17 12:12:26","2022-01-25 17:07:22",,,310050732
"3508","93","XX-501",1,1,0,60,0,0,0,0,0,0,60,1,"2021-01-27",,"2021-05-17 12:14:17","2022-01-25 17:13:12",,,310050732
"3509","1385","XX-501",1,,0,1,0,0,0,0,0,0,1,,"2021-01-27",,"2021-05-17 12:19:21","2021-05-17 12:19:59",,,310050732
"3510","1385","XX-501",3,,2,7,0,0,0,0,0,0,7,,"2021-01-27",,"2021-05-17 12:19:47","2021-05-17 12:19:47",,,310050732
"3517","549","XX-501",1,3,0,8,0,0,0,0,0,0,8,1,"2021-01-27",,"2021-05-17 12:41:31","2022-01-25 17:14:22",,,310050732
"3519","927","XX-501",1,,0,10,0,0,10,0,0,0,0,,"2021-01-27",,"2021-05-17 12:51:03","2021-09-07 11:02:06",,,310050732
"3544","717","XX-501",3,1,4,16,0,0,0,0,0,0,16,2,"2021-01-27",,"2021-05-18 08:39:02","2021-05-18 08:39:54",,,310050732
"3545","717","XX-501",1,1,0,22,0,0,0,0,0,0,22,2,"2021-01-27",,"2021-05-18 08:39:32","2021-05-18 08:39:38",,,310050732
"3546","97","XX-501",1,1,0,6,0,0,0,0,0,0,6,2,"2021-01-27",,"2021-05-18 08:42:07","2022-01-25 17:19:34",,,310050732
"3547","97","XX-501",3,1,17,46,0,0,0,0,0,0,46,2,"2021-01-27",,"2021-05-18 08:42:40","2022-01-25 17:19:53",,,310050732
"3548","414","XX-501",1,1,0,55,0,0,0,0,0,0,55,1,"2021-01-27",,"2021-05-18 08:43:43","2022-01-25 17:20:38",,,310050732
"3549","1362","XX-501",1,1,0,7,0,0,0,0,0,0,7,2,"2021-01-27",,"2021-05-18 08:53:12","2021-05-18 08:53:12",,,310050732
"3550","1362","XX-501",3,1,1,4,0,0,0,0,0,0,4,2,"2021-01-27",,"2021-05-18 08:53:30","2021-05-18 08:53:30",,,310050732
"3551","1081","XX-501",1,1,0,22,0,0,0,0,0,0,22,1,"2021-01-27",,"2021-05-18 08:56:18","2021-05-18 08:56:18",,,310050732
"3554","95","XX-501",3,1,6,30,0,0,0,0,0,0,30,1,"2021-01-27",,"2021-05-18 08:59:32","2021-05-18 08:59:32",,,310050732
"3555","877","XX-501",4,1,0,4,0,0,0,0,4,0,0,1,"2021-01-27",,"2021-05-18 09:22:06","2021-05-18 09:23:54",,,310050732
"3556","1310","XX-501",4,1,0,4,0,0,0,0,4,0,0,1,"2021-01-27",,"2021-05-18 09:23:28","2021-05-18 09:23:28",,,310050732
"3557","1487","XX-501",1,,0,18,18,0,0,0,0,0,0,,"2021-01-27",,"2021-05-18 09:27:48","2022-01-27 06:25:33",,,310050732
"3560","862","XX-501",4,,0,2,0,0,0,0,2,0,0,,"2021-01-27",,"2021-05-18 09:36:29","2021-10-07 11:06:46",,,310050732
"3567","256","XX-501",1,,0,4,0,0,0,0,4,0,0,,"2020-10-01",,"2021-05-18 09:46:38","2022-02-14 12:08:21",,,310050732
"3579","993","XX-501",1,,0,68,68,0,0,0,0,0,0,,"2021-01-27",,"2021-05-18 10:42:01","2022-01-27 06:28:51",,,310050732
"3581","1488","XX-501",1,,0,19,19,0,0,0,0,0,0,,"2021-01-27",,"2021-05-18 10:45:39","2022-01-27 06:55:49",,,310050732
"3582","632","XX-501",3,,1,2,0,0,0,0,0,2,0,,"2021-01-27",,"2021-05-18 10:47:52","2022-01-27 06:26:36",,,310050732
"3583","632","XX-501",1,,0,12,0,0,0,0,0,12,0,,"2021-01-27",,"2021-05-18 10:48:21","2022-01-27 06:26:58",,,310050732
"3584","735","XX-501",3,,5,20,0,0,0,0,0,20,0,,"2021-01-27",,"2021-05-18 10:50:31","2021-05-18 10:50:31",,,310050732
"3585","735","XX-501",1,,0,8,0,0,0,0,0,8,0,,"2021-01-27",,"2021-05-18 10:50:52","2022-01-27 06:28:05",,,310050732
"3588","1237","XX-501",1,,0,2,2,0,0,0,0,0,0,,"2021-01-27",,"2021-05-18 10:59:50","2022-01-27 06:31:32",,,310050732
"3589","488","XX-501",1,,0,7,0,0,3,0,0,0,4,,"2021-01-27",,"2021-05-18 11:01:37","2021-05-18 11:01:37",,,310050732
"3591","1305","XX-501",1,,0,2,0,0,0,0,0,2,0,,"2021-01-27",,"2021-05-18 11:06:39","2022-01-27 06:42:19",,,310050732
"3594","1516","XX-501",1,,0,5,0,0,0,0,0,5,0,,"2021-09-01",,"2021-05-18 11:20:47","2022-02-14 20:22:38",,,310050732
"3596","1482","XX-501",3,,5,16,0,0,0,0,0,0,16,,"2021-01-27",,"2021-05-18 11:24:06","2021-09-04 12:22:14",,,310050732
"3611","760","XX-501",1,,0,4,0,0,0,0,0,0,4,,"2021-01-27",,"2021-05-18 11:37:28","2021-05-18 11:37:28",,,310050732
"3639","388","XX-501",3,,5,17,0,0,0,0,0,0,17,,"2021-01-27",,"2021-05-18 11:55:41","2021-05-18 11:55:41",,,310050732
"3640","388","XX-501",1,,0,15,0,0,0,0,0,0,15,,"2021-01-27",,"2021-05-18 11:56:02","2021-05-18 11:56:02",,,310050732
"3641","389","XX-501",1,,0,10,0,0,0,0,0,0,10,,"2021-01-27",,"2021-05-18 11:56:51","2021-05-18 11:56:51",,,310050732
"3647","1625","XX-501",1,,0,48,0,0,0,0,0,0,48,,"2021-01-20",,"2021-05-18 12:01:19","2022-02-14 17:18:29",,,310050732
"3648","1625","XX-501",3,,3,12,0,0,0,0,0,0,12,,"2021-01-20",,"2021-05-18 12:01:35","2022-02-14 17:18:35",,,310050732
"3651","1537","XX-501",1,,0,5,0,0,0,0,0,0,5,,"2021-01-27",,"2021-05-18 12:04:59","2022-01-27 06:55:04",,,310050732
"3657","724","XX-501",3,,4,12,0,0,0,0,0,0,12,,"2021-01-27",,"2021-05-18 12:09:04","2021-05-18 12:09:04",,,310050732
"3742","1672","XX-501",1,,0,5,0,0,0,0,0,0,5,,"2021-06-02",,"2021-06-02 10:39:46","2021-06-02 10:39:46",,,310050732
"3830","1680","XX-501",1,,0,1,0,0,0,0,0,1,0,,"2021-08-01",,"2021-08-10 16:06:44","2021-08-10 16:06:44",,,310050732
"3934","95","XX-501",1,1,0,25,0,0,0,0,0,0,25,1,"2021-01-27",,"2021-10-07 09:10:59","2021-10-07 09:10:59",,,310050732
"3942","234","XX-501",1,1,0,6,0,0,0,0,0,0,6,1,"2021-01-27",,"2021-10-07 10:12:21","2021-10-07 10:12:21",,,310050732
"3943","234","XX-501",3,1,10,34,0,0,0,0,0,0,34,1,"2021-01-27",,"2021-10-07 10:12:51","2021-10-07 10:12:51",,,310050732
"3947","1396","XX-501",3,1,6,23,0,0,0,0,0,0,23,1,"2021-01-27",,"2021-10-07 10:20:54","2021-10-07 10:20:54",,,310050732
"3951","1396","XX-501",1,1,0,5,0,0,0,0,0,0,5,1,"2021-01-27",,"2021-10-07 10:24:09","2021-10-07 10:24:09",,,310050732
"3955","563","XX-501",1,1,0,45,0,0,0,0,0,0,45,1,"2021-01-27",,"2021-10-07 10:27:13","2021-10-07 10:27:13",,,310050732
"3969","863","XX-501",1,,0,2,0,0,0,0,2,0,0,,"2021-01-27",,"2021-10-07 10:53:49","2021-10-07 10:53:49",,,310050732
"3970","863","XX-501",4,,0,1,0,0,0,0,1,0,0,,"2021-01-27",,"2021-10-07 10:54:17","2021-10-07 10:54:17",,,310050732
"3975","862","XX-501",1,,0,7,0,0,0,0,7,0,0,,"2021-01-27",,"2021-10-07 11:06:14","2022-01-27 06:14:10",,,310050732
"3985","340","XX-501",1,,0,12,0,0,0,0,0,0,12,,"2021-01-27",,"2021-10-07 14:23:36","2021-10-07 14:23:36",,,310050732
"3988","40","XX-501",1,,0,15,0,0,0,0,0,0,15,,"2021-01-27",,"2021-10-07 14:30:16","2021-10-07 14:30:16",,,310050732
"4020","760","XX-501",3,,1,2,0,0,0,0,0,0,2,,"2021-01-27",,"2021-10-07 15:17:26","2021-10-07 15:17:26",,,310050732
"4023","1210","XX-501",4,1,0,4,0,0,0,0,4,0,0,1,"2021-01-27",,"2021-10-07 15:19:59","2021-10-07 15:19:59",,,310050732
"4252","1495","XX-501",3,,0,0,0,0,0,0,0,0,0,,"2021-01-29",,"2021-11-17 01:03:59","2022-01-24 18:19:28",,,310050732
"4271","1330","XX-501",3,,9,29,0,0,0,0,0,0,29,,"2021-01-29","2025-09-30","2021-11-17 01:24:19","2021-11-17 01:24:19",,,310050732
"4288","1629","XX-501",3,,2,9,0,0,0,0,0,0,9,,"2021-02-05",,"2021-12-13 17:36:59","2021-12-13 17:37:52",,,310050732
"4289","1629","XX-501",1,,0,8,0,0,0,0,0,0,8,,"2021-02-05",,"2021-12-13 17:38:09","2021-12-13 17:38:09",,,310050732
"4290","1638","XX-501",1,,0,10,0,0,10,0,0,0,0,,"2021-04-14",,"2021-12-13 17:39:52","2021-12-13 17:39:52",,,310050732
"4291","1668","XX-501",1,,0,10,0,0,0,0,0,0,10,,"2021-05-07",,"2021-12-13 17:49:22","2021-12-13 17:49:22",,,310050732
"4292","1683","XX-501",1,1,0,10,0,0,0,0,0,0,10,2,"2021-08-01",,"2021-12-13 17:54:37","2021-12-13 17:54:37",,,310050732
"4298","906","XX-501",1,,0,8,0,0,0,0,0,0,8,,"2021-01-27",,"2022-01-24 16:52:09","2022-01-27 06:49:23",,,310050732
"4303","1362","XX-501",1,3,0,20,0,0,0,0,0,0,20,1,"2021-01-27",,"2022-01-24 17:07:55","2022-01-24 17:07:55",,,310050732
"4307","1495","XX-501",1,,0,13,0,0,0,0,13,0,0,,"2021-01-29",,"2022-01-24 18:19:19","2022-01-24 18:19:39",,,310050732
"4308","475","XX-501",1,1,0,8,0,0,0,0,0,0,8,1,"2021-01-27",,"2022-01-25 13:24:19","2022-01-25 13:24:19",,,310050732
"4309","1490","XX-501",1,1,0,10,0,0,0,0,0,0,10,1,"2021-01-27",,"2022-01-25 13:32:50","2022-01-25 13:32:50",,,310050732
"4310","1490","XX-501",3,1,5,15,0,0,0,0,0,0,15,1,"2021-01-27",,"2022-01-25 13:33:06","2022-01-25 13:33:06",,,310050732
"4311","486","XX-501",1,1,0,11,0,0,0,0,0,0,11,1,"2021-01-27",,"2022-01-25 17:01:45","2022-01-25 17:01:45",,,310050732
"4312","712","XX-501",1,1,0,26,0,0,0,0,0,0,26,1,"2021-01-27",,"2022-01-25 17:03:43","2022-01-25 17:03:43",,,310050732
"4313","1212","XX-501",1,1,0,38,0,0,0,0,0,0,38,1,"2021-01-27",,"2022-01-25 17:24:03","2022-01-25 17:24:03",,,310050732
"4316","1347","XX-501",3,1,8,14,0,0,0,0,0,0,14,2,"2021-01-29",,"2022-01-25 18:19:58","2022-01-26 12:23:25",,,310050732
"4332","1236","XX-501",1,,0,6,6,0,0,0,0,0,0,,"2021-01-27",,"2022-01-27 06:30:21","2022-01-27 06:30:34",,,310050732
