RowTotal,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHType,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID
1,-2,1,2,24,-1,1,0,0,0,0,3,25,0,0,1,310050732
1,-2,1,2,24,-1,1,0,0,1,0,56,25,0,0,1,310050732
1,-2,1,2,24,-1,1,0,4,0,0,5,55,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,0,1,25,0,0,1,310050732
4,-2,1,2,98,-1,1,0,0,0,0,3,18,0,0,1,310050732
5,-2,1,2,98,-1,1,0,0,0,0,3,25,0,0,1,310050732
2,-2,1,2,98,-1,1,0,0,0,0,5,18,0,0,1,310050732
17,-2,1,2,98,-1,1,0,0,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,0,5,25,1,0,1,310050732
2,-2,1,2,98,-1,1,0,0,0,0,5,55,0,0,1,310050732
2,-2,1,2,98,-1,1,0,0,0,0,56,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,1,1,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,1,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,1,36,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,2,1,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,2,2,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,2,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,0,2,56,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,0,3,18,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,0,3,24,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,0,3,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,0,3,55,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,0,5,18,0,0,1,310050732
10,-2,1,2,98,-1,1,0,0,1,0,5,25,0,0,1,310050732
4,-2,1,2,98,-1,1,0,0,1,0,5,55,0,0,1,310050732
2,-2,1,2,98,-1,1,0,0,1,0,56,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,1,3,25,0,0,1,310050732
2,-2,1,2,98,-1,1,0,0,1,1,5,25,0,0,1,310050732
2,-2,1,2,98,-1,1,0,0,1,2,1,25,0,0,1,310050732
2,-2,1,2,98,-1,1,0,0,1,2,3,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,2,3,55,0,0,1,310050732
8,-2,1,2,98,-1,1,0,0,1,2,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,0,1,2,5,55,0,0,1,310050732
1,-2,1,2,98,-1,1,0,1,1,0,3,55,0,0,1,310050732
3,-2,1,2,98,-1,1,0,1,1,0,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,1,1,0,5,55,0,0,1,310050732
1,-2,1,2,98,-1,1,0,1,1,2,1,55,0,0,1,310050732
1,-2,1,2,98,-1,1,0,1,1,2,25,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,4,0,0,2,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,4,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,0,4,0,0,5,55,0,0,1,310050732
2,-2,1,2,98,-1,1,0,4,0,2,5,18,0,0,1,310050732
1,-2,1,2,98,-1,1,0,6,1,0,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,1,0,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,-1,1,1,0,1,0,3,55,0,0,1,310050732
3,-2,1,2,98,-1,1,1,0,1,0,5,25,0,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,0,3,18,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,0,3,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,0,3,25,1,1,1,310050732
1,-2,1,2,98,-1,2,0,0,0,0,5,18,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,0,35,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,1,3,25,1,1,1,310050732
1,-2,1,2,98,-1,2,0,0,0,1,56,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,2,1,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,2,5,24,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,2,5,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,0,2,5,25,1,1,1,310050732
1,-2,1,2,98,-1,2,0,0,0,2,98,25,1,0,1,310050732
2,-2,1,2,98,-1,2,0,0,1,0,3,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,1,1,3,25,1,0,1,310050732
1,-2,1,2,98,-1,2,0,0,1,1,3,25,1,1,1,310050732
1,-2,1,2,98,-1,2,0,0,1,1,5,25,1,0,1,310050732
2,-2,1,2,98,-1,2,0,0,1,2,5,25,1,0,1,310050732
1,-2,1,2,98,-1,3,0,0,0,2,5,-1,0,0,1,310050732
1,-2,1,2,98,30,1,0,0,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,30,1,1,0,1,2,5,55,0,0,1,310050732
1,-2,1,2,98,60,2,0,0,1,2,56,25,1,1,1,310050732
1,-2,1,2,98,60,3,0,0,0,0,35,-1,0,0,1,310050732
1,-2,1,2,98,90,1,0,0,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,90,1,0,0,0,2,25,25,0,0,1,310050732
1,-2,1,2,98,180,1,0,0,0,2,5,25,0,0,1,310050732
1,-2,1,2,98,180,1,0,0,1,1,5,25,0,0,1,310050732
1,-2,1,2,98,180,1,0,4,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,180,1,0,4,0,0,5,55,0,0,1,310050732
1,-2,1,2,98,180,1,1,0,1,2,5,55,0,0,1,310050732
1,-2,1,2,98,365,1,0,0,0,0,3,25,0,0,1,310050732
2,-2,1,2,98,365,1,0,0,0,0,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,0,1,0,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,0,1,1,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,0,1,2,5,24,0,0,1,310050732
1,-2,1,2,98,365,1,0,0,1,2,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,1,1,0,2,25,0,0,1,310050732
2,-2,1,2,98,365,1,0,1,1,0,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,1,1,1,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,1,1,2,5,25,0,0,1,310050732
1,-2,1,2,98,365,1,0,4,0,0,3,55,0,0,1,310050732
1,-2,1,2,98,365,1,1,0,1,0,3,55,0,0,1,310050732
1,-2,1,2,98,547,1,0,0,0,0,1,25,0,0,1,310050732
1,-2,1,2,98,547,1,0,0,0,0,5,55,0,0,1,310050732
1,-2,1,2,98,547,1,0,0,0,2,5,25,0,0,1,310050732
1,-2,1,2,98,547,1,0,0,1,0,3,25,0,0,1,310050732
1,-2,1,2,98,547,1,0,0,1,0,56,25,0,0,1,310050732
1,-2,1,2,98,547,1,0,0,1,2,5,25,0,0,1,310050732
1,-2,1,2,98,547,2,0,0,0,0,56,24,1,0,1,310050732
4,-2,1,2,99,-1,1,0,0,0,0,3,18,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,0,0,3,24,0,0,1,310050732
27,-2,1,2,99,-1,1,0,0,0,0,3,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,3,25,1,0,1,310050732
4,-2,1,2,99,-1,1,0,0,0,0,3,55,0,0,1,310050732
3,-2,1,2,99,-1,1,0,0,0,0,5,18,0,0,1,310050732
28,-2,1,2,99,-1,1,0,0,0,0,5,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,5,25,1,0,1,310050732
7,-2,1,2,99,-1,1,0,0,0,0,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,13,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,25,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,35,18,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,35,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,36,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,45,25,0,0,1,310050732
4,-2,1,2,99,-1,1,0,0,0,0,56,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,98,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,0,99,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,1,3,18,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,1,3,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,1,3,55,0,0,1,310050732
4,-2,1,2,99,-1,1,0,0,0,1,5,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,1,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,1,98,18,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,0,2,3,24,0,0,1,310050732
3,-2,1,2,99,-1,1,0,0,0,2,3,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,5,24,0,0,1,310050732
12,-2,1,2,99,-1,1,0,0,0,2,5,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,15,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,16,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,25,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,36,24,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,0,2,56,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,1,18,0,0,1,310050732
3,-2,1,2,99,-1,1,0,0,1,0,1,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,0,3,18,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,3,24,0,0,1,310050732
11,-2,1,2,99,-1,1,0,0,1,0,3,25,0,0,1,310050732
3,-2,1,2,99,-1,1,0,0,1,0,3,55,0,0,1,310050732
6,-2,1,2,99,-1,1,0,0,1,0,5,18,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,0,5,24,0,0,1,310050732
36,-2,1,2,99,-1,1,0,0,1,0,5,25,0,0,1,310050732
10,-2,1,2,99,-1,1,0,0,1,0,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,13,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,34,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,0,35,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,0,56,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,56,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,98,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,0,99,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,1,3,25,0,0,1,310050732
8,-2,1,2,99,-1,1,0,0,1,1,5,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,1,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,1,15,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,1,36,18,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,2,2,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,2,3,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,2,3,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,2,5,18,0,0,1,310050732
12,-2,1,2,99,-1,1,0,0,1,2,5,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,0,1,2,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,0,1,2,136,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,1,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,1,1,0,3,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,3,25,0,0,5,310050732
1,-2,1,2,99,-1,1,0,1,1,0,5,18,0,0,1,310050732
8,-2,1,2,99,-1,1,0,1,1,0,5,25,0,0,1,310050732
5,-2,1,2,99,-1,1,0,1,1,0,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,15,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,15,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,34,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,35,18,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,36,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,99,24,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,0,99,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,1,3,18,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,1,5,25,0,0,1,310050732
2,-2,1,2,99,-1,1,0,1,1,2,3,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,2,5,24,0,0,1,310050732
2,-2,1,2,99,-1,1,0,1,1,2,5,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,1,1,2,15,25,0,0,1,310050732
1,-2,1,2,99,-1,1,0,2,1,1,5,55,0,0,1,310050732
1,-2,1,2,99,-1,1,0,4,0,0,2,25,0,0,1,310050732
