ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,RRHSubType,ResidentialAffiliation,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1051,93,Organization M - RRH,,2013-01-01,,1,13,3,2,,4,2,,2013-01-22 09:58:28,2018-10-12 11:41:15,,,310050732
1055,106,Organization Q - RRH,,2013-02-04,,1,13,3,2,,4,2,,2013-02-04 12:34:52,2018-10-12 09:21:35,,,310050732
1060,96,Organization O - RRH,,2013-02-08,,1,13,3,2,,4,2,,2013-02-08 09:57:21,2018-10-12 11:37:07,,,310050732
1081,55,Organization J - ES - 2,,2013-03-14,,1,0,1,,,4,2,,2013-03-14 11:43:22,2018-10-12 11:39:39,,,310050732
109,6,Organization B - TH,,2001-08-17,,1,2,1,,,4,2,,2001-08-17 11:05:15,2019-03-18 16:23:47,,,310050732
1176,119,Organization S - RRH,,2014-09-29,,1,13,3,2,,4,2,,2014-09-29 09:02:07,2018-10-12 09:54:19,,,310050732
1178,109,Organization R - RRH,,2014-09-29,,1,13,3,2,,4,2,,2014-09-29 09:29:34,2018-10-12 10:16:51,,,310050732
1182,95,Organization N - RRH,,2014-09-29,,1,13,3,2,,4,2,,2014-09-29 09:32:26,2020-04-07 10:15:52,,,310050732
1187,75,Organization K - ES,,2010-01-01,,1,0,1,,,4,2,,2014-12-31 11:10:43,2021-05-04 09:58:52,,,310050732
1193,49,Organization H - ES,,2015-01-07,,1,0,1,,,4,2,,2015-01-07 08:48:24,2018-10-12 11:31:15,,,310050732
1210,47,Organization F - ES - 2,,2015-02-25,,1,0,1,,,4,2,,2015-02-25 07:36:32,2018-10-12 10:01:10,,,310050732
1212,75,Organization K - ES - 2,,2015-03-18,,1,0,1,,,4,2,,2015-03-18 10:48:36,2018-10-12 11:38:34,,,310050732
1215,473,Organization Z - RRH,,2015-01-01,,1,13,3,2,,4,2,,2015-04-16 11:26:58,2018-10-12 10:12:20,,,310050732
1236,6,Organization B - PSH,,2015-07-20,,1,3,1,,,4,2,,2015-07-20 10:50:36,2021-11-30 17:39:25,,,310050732
1237,75,Organization K - PSH,,2015-07-20,,1,3,1,,,4,2,,2015-07-20 11:12:18,2022-01-21 08:22:18,,,310050732
1240,95,Organization N - ES,,2015-11-01,,1,0,1,,,4,2,,2015-09-02 11:36:04,2022-08-30 09:24:35,,,310050732
1249,95,Organization N - PSH,,2015-09-22,,1,3,2,,,4,2,,2015-09-22 13:18:29,2021-11-30 17:50:30,,,310050732
1305,28,Organization C - PSH - 2,,2016-04-22,,1,3,2,,,4,2,,2016-04-22 08:01:55,2021-05-05 16:35:15,,,310050732
1310,450,Organization W - ES,,2016-06-27,,1,0,1,,,4,2,,2016-06-27 09:18:54,2020-11-20 15:52:14,,,310050732
1330,139,Organization T - RRH,,2016-09-15,,1,13,3,2,,4,2,,2016-09-15 13:18:32,2020-12-29 15:30:48,,,310050732
1343,119,Organization S - RRH - 2,,2016-12-29,,1,13,3,2,,4,2,,2016-12-29 10:20:16,2021-12-09 17:51:21,,,310050732
1347,45,Organization E - ES,,2017-01-17,,1,0,3,,,4,2,,2017-01-17 07:41:52,2018-11-01 11:27:21,,,310050732
1349,119,Organization S - RRH - 3,,2017-01-25,,1,13,3,2,,4,2,,2017-01-25 11:54:48,2018-10-12 10:12:54,,,310050732
1351,96,Organization O - RRH - 2,,2017-02-02,,1,13,3,2,,4,2,,2017-02-02 10:57:14,2021-12-03 10:49:23,,,310050732
