ServicesID,EnrollmentID,PersonalID,DateProvided,RecordType,TypeProvided,OtherTypeProvided,MovingOnOtherType,SubTypeProvided,FAAmount,FAStartDate,FAEndDate,ReferralOutcome,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1,822411,92070,2021-08-22,200,200,,,,,,,,2021-08-22 21:00:00,2021-08-22 21:00:00,26,,1036
2,822411,92070,2021-08-25,200,200,,,,,,,,2021-08-25 21:00:00,2021-08-25 21:00:00,16,,1036
3,822411,92070,2021-08-26,200,200,,,,,,,,2021-08-26 21:00:00,2021-08-26 21:00:00,73,,1036
4,822411,92070,2021-09-02,200,200,,,,,,,,2021-09-02 21:00:00,2021-09-02 21:00:00,24,,1036
5,822411,92070,2021-09-04,200,200,,,,,,,,2021-09-04 21:00:00,2021-09-04 21:00:00,19,,1036
6,822411,92070,2021-09-06,200,200,,,,,,,,2021-09-06 21:00:00,2021-09-06 21:00:00,0,,1036
7,822411,92070,2021-09-07,200,200,,,,,,,,2021-09-07 21:00:00,2021-09-07 21:00:00,73,,1036
8,822411,92070,2021-09-08,200,200,,,,,,,,2021-09-08 21:00:00,2021-09-08 21:00:00,14,,1036
9,822411,92070,2021-09-09,200,200,,,,,,,,2021-09-09 21:00:00,2021-09-09 21:00:00,82,,1036
10,822411,92070,2021-09-10,200,200,,,,,,,,2021-09-10 21:00:00,2021-09-10 21:00:00,19,,1036
11,822411,92070,2021-09-11,200,200,,,,,,,,2021-09-11 21:00:00,2021-09-11 21:00:00,17,,1036
12,822411,92070,2021-09-14,200,200,,,,,,,,2021-09-14 21:00:00,2021-09-14 21:00:00,0,,1036
13,822411,92070,2021-09-19,200,200,,,,,,,,2021-09-19 21:00:00,2021-09-19 21:00:00,84,,1036
14,822411,92070,2021-09-20,200,200,,,,,,,,2021-09-20 21:00:00,2021-09-20 21:00:00,60,,1036
15,822411,92070,2021-09-22,200,200,,,,,,,,2021-09-22 21:00:00,2021-09-22 21:00:00,45,,1036
16,822411,92070,2021-10-01,200,200,,,,,,,,2021-10-01 21:00:00,2021-10-01 21:00:00,62,,1036
17,822411,92070,2021-10-05,200,200,,,,,,,,2021-10-05 21:00:00,2021-10-05 21:00:00,62,,1036
18,822411,92070,2021-10-08,200,200,,,,,,,,2021-10-08 21:00:00,2021-10-08 21:00:00,32,,1036
19,822411,92070,2021-10-09,200,200,,,,,,,,2021-10-09 21:00:00,2021-10-09 21:00:00,30,,1036
20,858134,124983,2022-08-03,200,200,,,,,,,,2022-08-03 21:00:00,2022-08-03 21:00:00,60,,1036
21,858134,124983,2022-08-04,200,200,,,,,,,,2022-08-04 21:00:00,2022-08-04 21:00:00,42,,1036
22,858134,124983,2022-08-05,200,200,,,,,,,,2022-08-05 21:00:00,2022-08-05 21:00:00,14,,1036
23,858134,124983,2022-08-07,200,200,,,,,,,,2022-08-07 21:00:00,2022-08-07 21:00:00,16,,1036
24,858134,124983,2022-08-13,200,200,,,,,,,,2022-08-13 21:00:00,2022-08-13 21:00:00,28,,1036
25,858134,124983,2022-08-15,200,200,,,,,,,,2022-08-15 21:00:00,2022-08-15 21:00:00,59,,1036
26,858134,124983,2022-08-16,200,200,,,,,,,,2022-08-16 21:00:00,2022-08-16 21:00:00,98,,1036
27,858134,124983,2022-08-20,200,200,,,,,,,,2022-08-20 21:00:00,2022-08-20 21:00:00,59,,1036
28,858134,124983,2022-08-24,200,200,,,,,,,,2022-08-24 21:00:00,2022-08-24 21:00:00,22,,1036
29,858134,124983,2022-08-25,200,200,,,,,,,,2022-08-25 21:00:00,2022-08-25 21:00:00,24,,1036
30,858134,124983,2022-08-26,200,200,,,,,,,,2022-08-26 21:00:00,2022-08-26 21:00:00,24,,1036
31,858134,124983,2022-08-28,200,200,,,,,,,,2022-08-28 21:00:00,2022-08-28 21:00:00,19,,1036
32,858134,124983,2022-08-29,200,200,,,,,,,,2022-08-29 21:00:00,2022-08-29 21:00:00,64,,1036
33,858134,124983,2022-09-02,200,200,,,,,,,,2022-09-02 21:00:00,2022-09-02 21:00:00,0,,1036
34,858134,124983,2022-09-07,200,200,,,,,,,,2022-09-07 21:00:00,2022-09-07 21:00:00,14,,1036
35,858134,124983,2022-09-08,200,200,,,,,,,,2022-09-08 21:00:00,2022-09-08 21:00:00,28,,1036
36,858134,124983,2022-09-11,200,200,,,,,,,,2022-09-11 21:00:00,2022-09-11 21:00:00,45,,1036
37,858134,124983,2022-09-14,200,200,,,,,,,,2022-09-14 21:00:00,2022-09-14 21:00:00,31,,1036
38,858134,124983,2022-09-18,200,200,,,,,,,,2022-09-18 21:00:00,2022-09-18 21:00:00,17,,1036
39,858134,124983,2022-09-19,200,200,,,,,,,,2022-09-19 21:00:00,2022-09-19 21:00:00,43,,1036
40,858134,124983,2022-09-20,200,200,,,,,,,,2022-09-20 21:00:00,2022-09-20 21:00:00,19,,1036
41,858134,124983,2022-09-22,200,200,,,,,,,,2022-09-22 21:00:00,2022-09-22 21:00:00,24,,1036
42,858134,124983,2022-09-24,200,200,,,,,,,,2022-09-24 21:00:00,2022-09-24 21:00:00,17,,1036
43,858134,124983,2022-09-26,200,200,,,,,,,,2022-09-26 21:00:00,2022-09-26 21:00:00,25,,1036
44,828874,401346,2021-10-29,200,200,,,,,,,,2021-10-29 21:00:00,2021-10-29 21:00:00,25,,1036
45,828874,401346,2021-10-31,200,200,,,,,,,,2021-10-31 21:00:00,2021-10-31 21:00:00,21,,1036
46,828874,401346,2021-11-08,200,200,,,,,,,,2021-11-08 22:00:00,2021-11-08 22:00:00,21,,1036
47,828874,401346,2021-11-09,200,200,,,,,,,,2021-11-09 22:00:00,2021-11-09 22:00:00,62,,1036
48,828874,401346,2021-11-10,200,200,,,,,,,,2021-11-10 22:00:00,2021-11-10 22:00:00,29,,1036
49,828874,401346,2021-11-12,200,200,,,,,,,,2021-11-12 22:00:00,2021-11-12 22:00:00,59,,1036
50,828874,401346,2021-11-15,200,200,,,,,,,,2021-11-15 22:00:00,2021-11-15 22:00:00,17,,1036
51,828874,401346,2021-11-16,200,200,,,,,,,,2021-11-16 22:00:00,2021-11-16 22:00:00,28,,1036
52,828874,401346,2021-11-22,200,200,,,,,,,,2021-11-22 22:00:00,2021-11-22 22:00:00,45,,1036
53,828874,401346,2021-11-24,200,200,,,,,,,,2021-11-24 22:00:00,2021-11-24 22:00:00,29,,1036
54,828874,401346,2021-11-26,200,200,,,,,,,,2021-11-26 22:00:00,2021-11-26 22:00:00,0,,1036
55,828874,401346,2021-11-27,200,200,,,,,,,,2021-11-27 22:00:00,2021-11-27 22:00:00,84,,1036
56,828874,401346,2021-11-28,200,200,,,,,,,,2021-11-28 22:00:00,2021-11-28 22:00:00,25,,1036
57,828874,401346,2021-11-30,200,200,,,,,,,,2021-11-30 22:00:00,2021-11-30 22:00:00,82,,1036
58,828874,401346,2021-12-01,200,200,,,,,,,,2021-12-01 22:00:00,2021-12-01 22:00:00,18,,1036
59,828874,401346,2021-12-04,200,200,,,,,,,,2021-12-04 22:00:00,2021-12-04 22:00:00,49,,1036
60,828874,401346,2021-12-05,200,200,,,,,,,,2021-12-05 22:00:00,2021-12-05 22:00:00,99,,1036
61,828874,401346,2021-12-07,200,200,,,,,,,,2021-12-07 22:00:00,2021-12-07 22:00:00,82,,1036
62,828874,401346,2021-12-08,200,200,,,,,,,,2021-12-08 22:00:00,2021-12-08 22:00:00,17,,1036
63,828874,401346,2021-12-10,200,200,,,,,,,,2021-12-10 22:00:00,2021-12-10 22:00:00,31,,1036
64,828874,401346,2021-12-11,200,200,,,,,,,,2021-12-11 22:00:00,2021-12-11 22:00:00,60,,1036
65,828874,401346,2021-12-16,200,200,,,,,,,,2021-12-16 22:00:00,2021-12-16 22:00:00,49,,1036
66,828874,401346,2021-12-18,200,200,,,,,,,,2021-12-18 22:00:00,2021-12-18 22:00:00,42,,1036
67,828874,401346,2021-12-19,200,200,,,,,,,,2021-12-19 22:00:00,2021-12-19 22:00:00,82,,1036
68,828874,401346,2021-12-23,200,200,,,,,,,,2021-12-23 22:00:00,2021-12-23 22:00:00,43,,1036
69,828874,401346,2021-12-24,200,200,,,,,,,,2021-12-24 22:00:00,2021-12-24 22:00:00,32,,1036
70,828874,401346,2021-12-25,200,200,,,,,,,,2021-12-25 22:00:00,2021-12-25 22:00:00,42,,1036
71,828874,401346,2021-12-27,200,200,,,,,,,,2021-12-27 22:00:00,2021-12-27 22:00:00,23,,1036
72,828874,401346,2021-12-31,200,200,,,,,,,,2021-12-31 22:00:00,2021-12-31 22:00:00,64,,1036
73,828874,401346,2022-01-02,200,200,,,,,,,,2022-01-02 22:00:00,2022-01-02 22:00:00,84,,1036
74,828874,401346,2022-01-04,200,200,,,,,,,,2022-01-04 22:00:00,2022-01-04 22:00:00,13,,1036
75,828874,401346,2022-01-05,200,200,,,,,,,,2022-01-05 22:00:00,2022-01-05 22:00:00,43,,1036
76,828874,401346,2022-01-06,200,200,,,,,,,,2022-01-06 22:00:00,2022-01-06 22:00:00,60,,1036
77,828874,401346,2022-01-08,200,200,,,,,,,,2022-01-08 22:00:00,2022-01-08 22:00:00,49,,1036
78,828874,401346,2022-01-09,200,200,,,,,,,,2022-01-09 22:00:00,2022-01-09 22:00:00,29,,1036
79,828874,401346,2022-01-11,200,200,,,,,,,,2022-01-11 22:00:00,2022-01-11 22:00:00,15,,1036
80,828874,401346,2022-01-13,200,200,,,,,,,,2022-01-13 22:00:00,2022-01-13 22:00:00,15,,1036
81,828874,401346,2022-01-14,200,200,,,,,,,,2022-01-14 22:00:00,2022-01-14 22:00:00,30,,1036
82,828874,401346,2022-01-15,200,200,,,,,,,,2022-01-15 22:00:00,2022-01-15 22:00:00,17,,1036
83,828874,401346,2022-01-16,200,200,,,,,,,,2022-01-16 22:00:00,2022-01-16 22:00:00,27,,1036
84,828874,401346,2022-01-17,200,200,,,,,,,,2022-01-17 22:00:00,2022-01-17 22:00:00,31,,1036
85,828874,401346,2022-01-18,200,200,,,,,,,,2022-01-18 22:00:00,2022-01-18 22:00:00,19,,1036
86,856590,404877,2022-07-21,200,200,,,,,,,,2022-07-21 21:00:00,2022-07-21 21:00:00,27,,1036
87,856590,404877,2022-07-22,200,200,,,,,,,,2022-07-22 21:00:00,2022-07-22 21:00:00,44,,1036
88,856590,404877,2022-07-26,200,200,,,,,,,,2022-07-26 21:00:00,2022-07-26 21:00:00,44,,1036
89,856590,404877,2022-08-20,200,200,,,,,,,,2022-08-20 21:00:00,2022-08-20 21:00:00,94,,1036
90,856590,404877,2022-08-31,200,200,,,,,,,,2022-08-31 21:00:00,2022-08-31 21:00:00,59,,1036
91,856590,404877,2022-09-12,200,200,,,,,,,,2022-09-12 21:00:00,2022-09-12 21:00:00,49,,1036
92,856590,404877,2022-09-15,200,200,,,,,,,,2022-09-15 21:00:00,2022-09-15 21:00:00,31,,1036
93,850856,405886,2022-05-21,200,200,,,,,,,,2022-05-21 21:00:00,2022-05-21 21:00:00,24,,1036
94,850856,405886,2022-05-25,200,200,,,,,,,,2022-05-25 21:00:00,2022-05-25 21:00:00,24,,1036
95,850856,405886,2022-05-26,200,200,,,,,,,,2022-05-26 21:00:00,2022-05-26 21:00:00,21,,1036
96,850856,405886,2022-05-28,200,200,,,,,,,,2022-05-28 21:00:00,2022-05-28 21:00:00,43,,1036
97,850856,405886,2022-06-05,200,200,,,,,,,,2022-06-05 21:00:00,2022-06-05 21:00:00,32,,1036
98,850856,405886,2022-06-09,200,200,,,,,,,,2022-06-09 21:00:00,2022-06-09 21:00:00,98,,1036
99,850856,405886,2022-06-12,200,200,,,,,,,,2022-06-12 21:00:00,2022-06-12 21:00:00,73,,1036
100,850856,405886,2022-06-14,200,200,,,,,,,,2022-06-14 21:00:00,2022-06-14 21:00:00,64,,1036
101,850856,405886,2022-06-19,200,200,,,,,,,,2022-06-19 21:00:00,2022-06-19 21:00:00,49,,1036
102,850856,405886,2022-06-21,200,200,,,,,,,,2022-06-21 21:00:00,2022-06-21 21:00:00,13,,1036
103,850856,405886,2022-06-26,200,200,,,,,,,,2022-06-26 21:00:00,2022-06-26 21:00:00,20,,1036
104,850856,405886,2022-06-29,200,200,,,,,,,,2022-06-29 21:00:00,2022-06-29 21:00:00,62,,1036
105,850856,405886,2022-07-03,200,200,,,,,,,,2022-07-03 21:00:00,2022-07-03 21:00:00,98,,1036
106,850856,405886,2022-07-06,200,200,,,,,,,,2022-07-06 21:00:00,2022-07-06 21:00:00,0,,1036
107,850856,405886,2022-07-11,200,200,,,,,,,,2022-07-11 21:00:00,2022-07-11 21:00:00,13,,1036
108,850856,405886,2022-07-12,200,200,,,,,,,,2022-07-12 21:00:00,2022-07-12 21:00:00,13,,1036
109,859339,408180,2022-08-15,200,200,,,,,,,,2022-08-15 21:00:00,2022-08-15 21:00:00,59,,1036
110,859339,408180,2022-08-18,200,200,,,,,,,,2022-08-18 21:00:00,2022-08-18 21:00:00,42,,1036
111,859339,408180,2022-08-21,200,200,,,,,,,,2022-08-21 21:00:00,2022-08-21 21:00:00,25,,1036
112,859339,408180,2022-08-28,200,200,,,,,,,,2022-08-28 21:00:00,2022-08-28 21:00:00,62,,1036
113,859339,408180,2022-08-30,200,200,,,,,,,,2022-08-30 21:00:00,2022-08-30 21:00:00,98,,1036
114,859339,408180,2022-08-31,200,200,,,,,,,,2022-08-31 21:00:00,2022-08-31 21:00:00,82,,1036
115,859339,408180,2022-09-01,200,200,,,,,,,,2022-09-01 21:00:00,2022-09-01 21:00:00,42,,1036
116,859339,408180,2022-09-02,200,200,,,,,,,,2022-09-02 21:00:00,2022-09-02 21:00:00,99,,1036
117,859339,408180,2022-09-06,200,200,,,,,,,,2022-09-06 21:00:00,2022-09-06 21:00:00,84,,1036
118,859339,408180,2022-09-09,200,200,,,,,,,,2022-09-09 21:00:00,2022-09-09 21:00:00,42,,1036
119,859339,408180,2022-09-10,200,200,,,,,,,,2022-09-10 21:00:00,2022-09-10 21:00:00,21,,1036
120,859339,408180,2022-09-11,200,200,,,,,,,,2022-09-11 21:00:00,2022-09-11 21:00:00,73,,1036
121,859339,408180,2022-09-18,200,200,,,,,,,,2022-09-18 21:00:00,2022-09-18 21:00:00,44,,1036
122,859339,408180,2022-09-22,200,200,,,,,,,,2022-09-22 21:00:00,2022-09-22 21:00:00,24,,1036
123,859339,408180,2022-09-30,200,200,,,,,,,,2022-09-30 21:00:00,2022-09-30 21:00:00,45,,1036
124,859439,425595,2022-08-14,200,200,,,,,,,,2022-08-14 21:00:00,2022-08-14 21:00:00,31,,1036
125,859439,425595,2022-08-15,200,200,,,,,,,,2022-08-15 21:00:00,2022-08-15 21:00:00,15,,1036
126,859439,425595,2022-08-18,200,200,,,,,,,,2022-08-18 21:00:00,2022-08-18 21:00:00,94,,1036
127,859439,425595,2022-08-19,200,200,,,,,,,,2022-08-19 21:00:00,2022-08-19 21:00:00,99,,1036
128,859439,425595,2022-08-20,200,200,,,,,,,,2022-08-20 21:00:00,2022-08-20 21:00:00,59,,1036
129,859439,425595,2022-08-21,200,200,,,,,,,,2022-08-21 21:00:00,2022-08-21 21:00:00,42,,1036
130,859439,425595,2022-08-22,200,200,,,,,,,,2022-08-22 21:00:00,2022-08-22 21:00:00,17,,1036
131,859439,425595,2022-08-23,200,200,,,,,,,,2022-08-23 21:00:00,2022-08-23 21:00:00,15,,1036
132,859439,425595,2022-08-24,200,200,,,,,,,,2022-08-24 21:00:00,2022-08-24 21:00:00,27,,1036
133,859439,425595,2022-08-25,200,200,,,,,,,,2022-08-25 21:00:00,2022-08-25 21:00:00,30,,1036
134,859439,425595,2022-08-27,200,200,,,,,,,,2022-08-27 21:00:00,2022-08-27 21:00:00,29,,1036
135,859439,425595,2022-08-28,200,200,,,,,,,,2022-08-28 21:00:00,2022-08-28 21:00:00,60,,1036
136,859439,425595,2022-08-29,200,200,,,,,,,,2022-08-29 21:00:00,2022-08-29 21:00:00,31,,1036
137,859439,425595,2022-08-31,200,200,,,,,,,,2022-08-31 21:00:00,2022-08-31 21:00:00,42,,1036
138,859439,425595,2022-09-01,200,200,,,,,,,,2022-09-01 21:00:00,2022-09-01 21:00:00,43,,1036
139,859439,425595,2022-09-02,200,200,,,,,,,,2022-09-02 21:00:00,2022-09-02 21:00:00,13,,1036
140,859439,425595,2022-09-05,200,200,,,,,,,,2022-09-05 21:00:00,2022-09-05 21:00:00,22,,1036
141,859439,425595,2022-09-07,200,200,,,,,,,,2022-09-07 21:00:00,2022-09-07 21:00:00,49,,1036
142,859439,425595,2022-09-09,200,200,,,,,,,,2022-09-09 21:00:00,2022-09-09 21:00:00,27,,1036
143,859439,425595,2022-09-10,200,200,,,,,,,,2022-09-10 21:00:00,2022-09-10 21:00:00,60,,1036
