"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"5266","3091","8765","2016-07-07","","","","","","5","2016-07-07 12:00:00","2017-08-04 08:14:26","fidel_ko","","77ebf652741208fa9a36c52556058416"
"5721","2721","7313","2017-01-09","10","","","","","1","2017-01-09 10:00:00","2017-01-25 17:52:00","devorah","","77ebf652741208fa9a36c52556058416"
"5939","2946","7408","2016-12-20","7","","","","","1","2016-12-20 10:00:00","2017-06-29 19:42:00","sherika","","77ebf652741208fa9a36c52556058416"
"5954","2935","7394","2016-12-20","5","","","","","1","2016-12-20 10:00:00","2017-02-06 22:14:00","carolyn","","77ebf652741208fa9a36c52556058416"
"5957","2941","7411","2017-02-16","5","","","","","1","2017-02-16 10:00:00","2017-02-17 23:36:00","sherika","","77ebf652741208fa9a36c52556058416"
"5967","2948","7067","2017-03-23","10","","","","","1","2017-03-23 08:00:00","2017-03-28 19:23:00","dalene","","77ebf652741208fa9a36c52556058416"
"6034","2935","7394","2017-03-01","","","","","","3","2017-03-01 10:00:00","2017-04-04 18:53:00","hipolito","","77ebf652741208fa9a36c52556058416"
"6110","3023","8108","2014-12-24","","","","","","1","2014-12-24 15:00:00","2014-12-25 17:45:40","kenisha","","77ebf652741208fa9a36c52556058416"
"6128","3077","8693","2015-04-21","","","","","","1","2015-04-21 12:00:00","2015-04-22 14:46:31","joshua","","77ebf652741208fa9a36c52556058416"
"6130","2990","7479","2007-04-13","","","0","","3","1","2007-04-13 12:00:00","2017-09-17 07:48:43","kenisha","","77ebf652741208fa9a36c52556058416"
"6131","2986","7766","2011-03-11","","","","","3","1","2011-03-11 15:00:00","2018-12-01 11:35:48","kenisha","","77ebf652741208fa9a36c52556058416"
"6134","2984","7035","2011-09-08","","","","","","1","2011-09-08 12:00:00","2018-12-01 11:40:00","kenisha","","77ebf652741208fa9a36c52556058416"
"6152","2987","7902","2012-04-07","","","","","3","1","2012-04-07 12:00:00","2018-12-01 12:05:48","kenisha","","77ebf652741208fa9a36c52556058416"
"6191","2993","6719","2013-10-09","","","","","3","1","2013-10-09 12:00:00","2018-12-02 19:32:45","kenisha","","77ebf652741208fa9a36c52556058416"
"6201","2995","7849","2014-07-01","","","","","","1","2014-07-01 12:00:00","2018-12-02 19:36:45","kenisha","","77ebf652741208fa9a36c52556058416"
"6202","3085","8707","2014-07-26","","","","","","1","2014-07-26 12:00:00","2018-12-02 19:52:26","kenisha","","77ebf652741208fa9a36c52556058416"
"6509","3091","8765","2015-07-07","","","","","","1","2015-07-07 12:00:00","2017-08-04 08:15:31","fidel_ko","","77ebf652741208fa9a36c52556058416"
"6516","3073","8346","2015-08-15","","","","","","1","2015-08-15 12:00:00","2015-08-16 14:43:00","kenisha","","77ebf652741208fa9a36c52556058416"
"6562","3043","8334","2012-12-11","","","","","","1","2012-12-11 15:00:00","2016-07-23 13:14:17","kenisha","","77ebf652741208fa9a36c52556058416"
"6564","3099","8523","2015-11-19","","","","","","1","2015-11-19 15:00:00","2015-11-20 17:23:30","joshua","","77ebf652741208fa9a36c52556058416"
"6565","3096","8076","2015-12-08","","","","","","1","2015-12-08 15:00:00","2015-12-09 17:15:19","sheldon","","77ebf652741208fa9a36c52556058416"
"6633","3108","8266","2016-06-18","","","","","","1","2016-06-18 12:00:00","2016-06-19 14:26:21","sheldon","","77ebf652741208fa9a36c52556058416"
"6639","2984","7035","2016-09-08","","","","","","5","2016-09-08 12:00:00","2016-10-22 07:02:54","kenisha","","77ebf652741208fa9a36c52556058416"
"6640","3043","8334","2015-12-11","","","","","","5","2015-12-11 15:00:00","2016-10-22 06:30:19","kenisha","","77ebf652741208fa9a36c52556058416"
"6641","3073","8346","2016-08-15","","","","","","5","2016-08-15 12:00:00","2016-10-22 06:33:33","kenisha","","77ebf652741208fa9a36c52556058416"
"6642","2995","7849","2016-07-01","","","9","","","5","2016-07-01 12:00:00","2016-10-22 06:57:50","kenisha","","77ebf652741208fa9a36c52556058416"
"6643","2987","7902","2016-04-07","","","","","","5","2016-04-07 12:00:00","2016-10-22 07:00:12","kenisha","","77ebf652741208fa9a36c52556058416"
"6644","2986","7766","2016-03-11","","","","","","5","2016-03-11 15:00:00","2016-10-23 07:50:41","kenisha","","77ebf652741208fa9a36c52556058416"
"6645","2990","7479","2016-04-13","","","0","","3","5","2016-04-13 12:00:00","2016-10-23 14:34:20","kenisha","","77ebf652741208fa9a36c52556058416"
"6646","3085","8707","2016-07-26","","","9","","","5","2016-07-26 12:00:00","2016-10-23 14:42:38","kenisha","","77ebf652741208fa9a36c52556058416"
"6647","3077","8693","2016-04-21","","","","","","5","2016-04-21 12:00:00","2016-10-23 14:56:04","kenisha","","77ebf652741208fa9a36c52556058416"
"6648","2993","6719","2015-10-09","","","","","","5","2015-10-09 12:00:00","2016-10-23 15:00:48","kenisha","","77ebf652741208fa9a36c52556058416"
"6649","3113","8984","2016-10-22","","","","","","1","2016-10-22 12:00:00","2016-10-23 16:46:48","gordon","","77ebf652741208fa9a36c52556058416"
"6650","3023","8108","2015-12-24","","","","","","5","2015-12-24 15:00:00","2016-10-23 17:31:39","kenisha","","77ebf652741208fa9a36c52556058416"
"6653","3116","7477","2016-11-02","","","","","","1","2016-11-02 12:00:00","2016-11-03 14:52:38","gordon","","77ebf652741208fa9a36c52556058416"
"6658","3123","7563","2016-12-10","","","","","","1","2016-12-10 15:00:00","2016-12-11 19:28:36","sheldon","","77ebf652741208fa9a36c52556058416"
"6666","3129","9133","2017-01-10","","","","","","1","2017-01-10 15:00:00","2017-01-11 17:32:16","sheldon","","77ebf652741208fa9a36c52556058416"
"6687","3138","7076","2017-01-31","","","","","","1","2017-01-31 15:00:00","2017-02-01 20:02:36","sheldon","","77ebf652741208fa9a36c52556058416"
"6688","3140","8295","2017-02-06","","","0","","1","1","2017-02-06 15:00:00","2017-02-07 17:28:54","sheldon","","77ebf652741208fa9a36c52556058416"
