"EmploymentEducationID","EnrollmentID","PersonalID","InformationDate","LastGradeCompleted","SchoolStatus","Employed","EmploymentType","NotEmployedReason","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"_3f2o0_3f582","169363","61946",2017-02-26,99,99,0,,99,1,2017-02-26 00:00:00,2017-02-26 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2o8_3f57x","168955","61946",2015-11-18,99,99,0,,99,1,2015-11-18 00:00:00,2015-11-18 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2o9_3f57z","169002","61946",2016-01-05,99,99,0,,99,1,2016-01-05 00:00:00,2016-01-05 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oa_3f584","169878","61946",2018-01-09,99,99,0,,99,1,2018-01-09 00:00:00,2018-01-09 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ob_3f586","169416","61947",2017-04-11,99,99,0,,99,1,2017-04-11 00:00:00,2017-04-11 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oc_3f588","169491","61947",2017-06-01,99,99,0,,99,1,2017-06-01 00:00:00,2017-06-16 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2od_3f58e","169671","61947",2017-08-10,99,99,0,,99,1,2017-09-16 00:00:00,2017-09-16 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oe_3f58i","169379","61948",2017-03-02,99,99,1,99,,1,2017-03-09 00:00:00,2017-03-09 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2of_3f58o","170241","61948",2018-03-14,99,99,0,,99,1,2018-03-14 00:00:00,2018-03-14 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2og_3f58p","169445","61949",2017-04-27,99,99,0,,99,1,2017-04-27 00:00:00,2017-05-04 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oj_3f58v","169151","61951",2016-06-30,99,99,0,,99,1,2016-07-07 00:00:00,2016-07-07 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ok_3f58y","168940","61952",2015-10-24,99,99,0,,99,1,2015-10-24 00:00:00,2015-10-24 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ol_3f591","169145","61952",2016-06-15,99,99,1,99,,1,2016-07-02 00:00:00,2016-07-02 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2om_3f595","169576","61952",2017-07-26,99,99,0,,99,1,2017-07-26 00:00:00,2017-07-26 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2on_3f597","169654","61952",2017-09-06,99,99,0,,99,1,2017-09-06 00:00:00,2017-10-11 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oo_3f599","169113","61953",2016-05-11,99,99,0,,99,1,2016-05-12 00:00:00,2016-05-12 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2op_3f59a","169573","61953",2017-06-09,99,99,0,,99,1,2017-07-25 00:00:00,2017-07-25 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oq_3f59c","169879","61953",2018-01-11,99,99,0,,99,1,2018-01-11 00:00:00,2018-02-17 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2or_3f59e","169943","61953",2018-02-17,99,99,0,,99,1,2018-02-17 00:00:00,2018-02-17 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2os_3f59g","169295","61954",2016-12-24,99,99,1,99,,1,2017-01-05 00:00:00,2017-03-09 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ot_3f59i","169330","61955",2017-01-27,99,99,1,99,,1,2017-01-28 00:00:00,2017-01-28 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ou_3f59k","169787","61955",2017-11-21,99,99,0,,99,1,2017-11-21 00:00:00,2017-11-21 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ov_3f59m","170197","61955",2018-09-15,99,99,1,99,,1,2018-09-15 00:00:00,2018-09-15 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ow_3f59p","168904","61956",2015-08-16,99,99,0,,99,1,2015-08-16 00:00:00,2015-08-16 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2ox_3f59r","168906","61956",2015-08-19,99,99,0,,99,1,2015-08-19 00:00:00,2015-08-19 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
"_3f2oy_3f59t","168917","61956",2015-09-04,99,99,0,,99,1,2015-09-05 00:00:00,2015-09-30 00:00:00,"0",,"516E3A04D4354B819EEEE0BAB5BAE08C"
